2022-01-11 14:04:10:356 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:04:20:320 10 sec: 548 operations; 54.8 current ops/sec; est completion in 8 days 10 hours [INSERT: Count=548, Max=9699327, Min=1604608, Avg=6140098.34, 90=9084927, 99=9666559, 99.9=9699327, 99.99=9699327] 
2022-01-11 14:04:30:320 20 sec: 1948 operations; 140 current ops/sec; est completion in 4 days 18 hours [INSERT: Count=1400, Max=19677183, Min=9707520, Avg=15605414.77, 90=18890751, 99=19595263, 99.9=19677183, 99.99=19677183] 
2022-01-11 14:04:40:320 30 sec: 6261 operations; 431.3 current ops/sec; est completion in 2 days 5 hours [INSERT: Count=4313, Max=25591807, Min=8552448, Avg=18544140.94, 90=25214975, 99=25542655, 99.9=25591807, 99.99=25591807] 
2022-01-11 14:04:50:320 40 sec: 24439 operations; 1817.8 current ops/sec; est completion in 18 hours 10 minutes [INSERT: Count=18178, Max=8552447, Min=1349632, Avg=2794488.37, 90=5070847, 99=8028159, 99.9=8511487, 99.99=8552447] 
2022-01-11 14:05:00:320 50 sec: 58881 operations; 3444.2 current ops/sec; est completion in 9 hours 25 minutes [INSERT: Count=34457, Max=1409023, Min=975872, Avg=1173620.93, 90=1284095, 99=1359871, 99.9=1405951, 99.99=1409023] 
2022-01-11 14:05:10:320 60 sec: 97480 operations; 3859.9 current ops/sec; est completion in 6 hours 49 minutes [INSERT: Count=38584, Max=1141759, Min=966144, Avg=1041885.19, 90=1091583, 99=1121279, 99.9=1141759, 99.99=1141759] 
2022-01-11 14:05:20:320 70 sec: 137239 operations; 3975.9 current ops/sec; est completion in 5 hours 38 minutes [INSERT: Count=39759, Max=1063935, Min=934400, Avg=1011125.41, 90=1034239, 99=1057791, 99.9=1063935, 99.99=1063935] 
2022-01-11 14:05:30:320 80 sec: 177600 operations; 4036.1 current ops/sec; est completion in 4 hours 58 minutes [INSERT: Count=40361, Max=1075199, Min=882688, Avg=990031.42, 90=1019903, 99=1042431, 99.9=1073151, 99.99=1075199] 
2022-01-11 14:05:36:614 86 sec: 204531 operations; 4278.16 current ops/sec; est completion in 4 hours 39 minutes [CLEANUP: Count=4000, Max=22, Min=0, Avg=0.03, 90=0, 99=0, 99.9=10, 99.99=22] [INSERT: Count=26931, Max=1115135, Min=818176, Avg=937490.83, 90=999935, 99=1114111, 99.9=1115135, 99.99=1115135] 
