2022-01-11 12:49:53:740 0 sec: 0 operations; est completion in 0 second 
2022-01-11 12:50:03:706 10 sec: 382 operations; 38.2 current ops/sec; est completion in 12 days 2 hours [INSERT: Count=382, Max=9707519, Min=2406400, Avg=6393159.04, 90=9478143, 99=9699327, 99.9=9707519, 99.99=9707519] 
2022-01-11 12:50:13:705 20 sec: 1750 operations; 136.8 current ops/sec; est completion in 5 days 6 hours [INSERT: Count=1368, Max=19726335, Min=9723904, Avg=16199206.92, 90=19464191, 99=19726335, 99.9=19726335, 99.99=19726335] 
2022-01-11 12:50:23:706 30 sec: 8000 operations; 625 current ops/sec; est completion in 1 day 17 hours [INSERT: Count=6250, Max=20856831, Min=1566720, Avg=5335075.88, 90=12730367, 99=20774911, 99.9=20840447, 99.99=20840447] 
2022-01-11 12:50:33:706 40 sec: 29982 operations; 2198.2 current ops/sec; est completion in 14 hours 48 minutes [INSERT: Count=21982, Max=1842175, Min=560128, Avg=944126, 90=1421311, 99=1735679, 99.9=1839103, 99.99=1842175] 
2022-01-11 12:50:43:705 50 sec: 55320 operations; 2533.8 current ops/sec; est completion in 10 hours 1 minute [INSERT: Count=25353, Max=1202175, Min=535040, Avg=788425.57, 90=954367, 99=1090559, 99.9=1162239, 99.99=1202175] 
2022-01-11 12:50:53:706 60 sec: 80410 operations; 2509 current ops/sec; est completion in 8 hours 16 minutes [INSERT: Count=25075, Max=1076223, Min=546816, Avg=795118.95, 90=966655, 99=1037823, 99.9=1062911, 99.99=1076223] 
2022-01-11 12:51:03:705 70 sec: 105867 operations; 2545.7 current ops/sec; est completion in 7 hours 19 minutes [INSERT: Count=25457, Max=1049599, Min=555008, Avg=786723.48, 90=960511, 99=1000447, 99.9=1031679, 99.99=1034751] 
2022-01-11 12:51:13:705 80 sec: 131648 operations; 2578.1 current ops/sec; est completion in 6 hours 43 minutes [INSERT: Count=25781, Max=982527, Min=542720, Avg=774025.47, 90=945151, 99=971775, 99.9=981503, 99.99=982527] 
2022-01-11 12:51:19:758 86 sec: 146938 operations; 2526.44 current ops/sec; est completion in 6 hours 29 minutes [CLEANUP: Count=2000, Max=29, Min=0, Avg=0.07, 90=0, 99=1, 99.9=15, 99.99=29] [INSERT: Count=15290, Max=1060863, Min=554496, Avg=784601.99, 90=955391, 99=1022463, 99.9=1059839, 99.99=1059839] 
