2022-01-11 14:04:10:358 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:04:20:323 10 sec: 281 operations; 28.1 current ops/sec; est completion in 16 days 11 hours [INSERT: Count=281, Max=9682943, Min=3018752, Avg=5769904.74, 90=9142271, 99=9674751, 99.9=9682943, 99.99=9682943] 
2022-01-11 14:04:30:323 20 sec: 1923 operations; 164.2 current ops/sec; est completion in 4 days 19 hours [INSERT: Count=1642, Max=19677183, Min=9814016, Avg=15565680.57, 90=18563071, 99=19611647, 99.9=19660799, 99.99=19677183] 
2022-01-11 14:04:40:323 30 sec: 6352 operations; 442.9 current ops/sec; est completion in 2 days 4 hours [INSERT: Count=4429, Max=25067519, Min=8544256, Avg=17575961.89, 90=24281087, 99=25001983, 99.9=25067519, 99.99=25067519] 
2022-01-11 14:04:50:323 40 sec: 24244 operations; 1789.2 current ops/sec; est completion in 18 hours 19 minutes [INSERT: Count=17892, Max=8568831, Min=1349632, Avg=2826498.63, 90=4935679, 99=8126463, 99.9=8511487, 99.99=8552447] 
2022-01-11 14:05:00:323 50 sec: 59149 operations; 3490.5 current ops/sec; est completion in 9 hours 22 minutes [INSERT: Count=34905, Max=1409023, Min=976384, Avg=1174557.49, 90=1286143, 99=1358847, 99.9=1409023, 99.99=1409023] 
2022-01-11 14:05:10:323 60 sec: 97403 operations; 3825.4 current ops/sec; est completion in 6 hours 49 minutes [INSERT: Count=38254, Max=1141759, Min=965632, Avg=1042905.36, 90=1089535, 99=1119231, 99.9=1136639, 99.99=1139711] 
2022-01-11 14:05:20:323 70 sec: 136933 operations; 3953 current ops/sec; est completion in 5 hours 39 minutes [INSERT: Count=39530, Max=1072127, Min=933376, Avg=1010749.8, 90=1034751, 99=1063935, 99.9=1064959, 99.99=1064959] 
2022-01-11 14:05:30:323 80 sec: 177474 operations; 4054.1 current ops/sec; est completion in 4 hours 59 minutes [INSERT: Count=40541, Max=1073151, Min=883712, Avg=990541.88, 90=1020415, 99=1040895, 99.9=1065983, 99.99=1073151] 
2022-01-11 14:05:36:609 86 sec: 204576 operations; 4311.49 current ops/sec; est completion in 4 hours 39 minutes [CLEANUP: Count=4000, Max=20, Min=0, Avg=0.03, 90=0, 99=0, 99.9=10, 99.99=20] [INSERT: Count=27102, Max=1114111, Min=818688, Avg=937183.52, 90=989695, 99=1092607, 99.9=1114111, 99.99=1114111] 
