2022-01-11 14:04:10:362 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:04:20:325 10 sec: 362 operations; 36.2 current ops/sec; est completion in 12 days 18 hours [INSERT: Count=363, Max=9732095, Min=2744320, Avg=7284941.93, 90=9338879, 99=9674751, 99.9=9732095, 99.99=9732095] 
2022-01-11 14:04:30:325 20 sec: 1953 operations; 159.1 current ops/sec; est completion in 4 days 17 hours [INSERT: Count=1590, Max=19693567, Min=9740288, Avg=15331974.6, 90=18923519, 99=19628031, 99.9=19660799, 99.99=19693567] 
2022-01-11 14:04:40:325 30 sec: 6245 operations; 429.2 current ops/sec; est completion in 2 days 5 hours [INSERT: Count=4292, Max=25657343, Min=8544256, Avg=18262382.46, 90=25247743, 99=25575423, 99.9=25657343, 99.99=25657343] 
2022-01-11 14:04:50:325 40 sec: 24274 operations; 1802.9 current ops/sec; est completion in 18 hours 17 minutes [INSERT: Count=18029, Max=8568831, Min=1349632, Avg=2797363.3, 90=4907007, 99=7999487, 99.9=8462335, 99.99=8552447] 
2022-01-11 14:05:00:325 50 sec: 58901 operations; 3462.7 current ops/sec; est completion in 9 hours 25 minutes [INSERT: Count=34627, Max=1409023, Min=976384, Avg=1173919.45, 90=1285119, 99=1359871, 99.9=1409023, 99.99=1409023] 
2022-01-11 14:05:10:325 60 sec: 97473 operations; 3857.2 current ops/sec; est completion in 6 hours 49 minutes [INSERT: Count=38572, Max=1151999, Min=965632, Avg=1042085.89, 90=1090559, 99=1118207, 99.9=1150975, 99.99=1151999] 
2022-01-11 14:05:20:325 70 sec: 137132 operations; 3965.9 current ops/sec; est completion in 5 hours 39 minutes [INSERT: Count=39659, Max=1072127, Min=933376, Avg=1010259.14, 90=1032703, 99=1055743, 99.9=1063935, 99.99=1072127] 
2022-01-11 14:05:30:325 80 sec: 177634 operations; 4050.2 current ops/sec; est completion in 4 hours 58 minutes [INSERT: Count=40502, Max=1073151, Min=883200, Avg=989905.81, 90=1021439, 99=1042943, 99.9=1059839, 99.99=1072127] 
2022-01-11 14:05:36:610 86 sec: 204565 operations; 4284.96 current ops/sec; est completion in 4 hours 39 minutes [CLEANUP: Count=4000, Max=29, Min=0, Avg=0.03, 90=0, 99=0, 99.9=13, 99.99=29] [INSERT: Count=26931, Max=1116159, Min=818688, Avg=937536.93, 90=992767, 99=1114111, 99.9=1115135, 99.99=1115135] 
