2022-01-11 12:49:53:723 0 sec: 0 operations; est completion in 0 second 
2022-01-11 12:50:03:689 10 sec: 400 operations; 40 current ops/sec; est completion in 11 days 13 hours [INSERT: Count=400, Max=9478143, Min=2402304, Avg=6087859.2, 90=9134079, 99=9461759, 99.9=9478143, 99.99=9478143] 
2022-01-11 12:50:13:689 20 sec: 1830 operations; 143 current ops/sec; est completion in 5 days 1 hour [INSERT: Count=1430, Max=19693567, Min=11870208, Avg=16296537.51, 90=19415039, 99=19628031, 99.9=19693567, 99.99=19693567] 
2022-01-11 12:50:23:689 30 sec: 8000 operations; 617 current ops/sec; est completion in 1 day 17 hours [INSERT: Count=6170, Max=20742143, Min=1581056, Avg=5207622.87, 90=10747903, 99=20660223, 99.9=20742143, 99.99=20742143] 
2022-01-11 12:50:33:689 40 sec: 30006 operations; 2200.6 current ops/sec; est completion in 14 hours 48 minutes [INSERT: Count=22014, Max=1842175, Min=550912, Avg=946748.19, 90=1422335, 99=1723391, 99.9=1839103, 99.99=1842175] 
2022-01-11 12:50:43:688 50 sec: 55305 operations; 2529.9 current ops/sec; est completion in 10 hours 1 minute [INSERT: Count=25291, Max=1202175, Min=535552, Avg=788173.78, 90=952319, 99=1090559, 99.9=1149951, 99.99=1202175] 
2022-01-11 12:50:53:689 60 sec: 80417 operations; 2511.2 current ops/sec; est completion in 8 hours 16 minutes [INSERT: Count=25112, Max=1076223, Min=542208, Avg=797034.18, 90=980991, 99=1042431, 99.9=1052671, 99.99=1076223] 
2022-01-11 12:51:03:689 70 sec: 105780 operations; 2536.3 current ops/sec; est completion in 7 hours 20 minutes [INSERT: Count=25363, Max=1049599, Min=551936, Avg=787515.73, 90=961535, 99=1001471, 99.9=1035263, 99.99=1035775] 
2022-01-11 12:51:13:689 80 sec: 131499 operations; 2571.9 current ops/sec; est completion in 6 hours 44 minutes [INSERT: Count=25719, Max=982527, Min=528384, Avg=775010.26, 90=942591, 99=969215, 99.9=982015, 99.99=982527] 
2022-01-11 12:51:19:756 86 sec: 146659 operations; 2498.76 current ops/sec; est completion in 6 hours 29 minutes [CLEANUP: Count=2000, Max=24, Min=0, Avg=0.09, 90=0, 99=1, 99.9=18, 99.99=24] [INSERT: Count=15160, Max=1060863, Min=554496, Avg=785736.46, 90=952831, 99=1016831, 99.9=1058815, 99.99=1060863] 
