2022-01-11 14:04:10:347 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:04:20:312 10 sec: 684 operations; 68.4 current ops/sec; est completion in 6 days 18 hours [INSERT: Count=684, Max=9699327, Min=1762304, Avg=6548564.58, 90=8945663, 99=9609215, 99.9=9691135, 99.99=9699327] 
2022-01-11 14:04:30:312 20 sec: 2233 operations; 154.9 current ops/sec; est completion in 4 days 3 hours [INSERT: Count=1549, Max=19660799, Min=9707520, Avg=15632940.62, 90=18890751, 99=19578879, 99.9=19660799, 99.99=19660799] 
2022-01-11 14:04:40:312 30 sec: 6606 operations; 437.3 current ops/sec; est completion in 2 days 2 hours [INSERT: Count=4376, Max=25198591, Min=8552448, Avg=17664709.5, 90=24313855, 99=25149439, 99.9=25198591, 99.99=25198591] 
2022-01-11 14:04:50:312 40 sec: 24563 operations; 1795.7 current ops/sec; est completion in 18 hours 4 minutes [INSERT: Count=17954, Max=8568831, Min=1349632, Avg=2777851.95, 90=4857855, 99=8019967, 99.9=8511487, 99.99=8560639] 
2022-01-11 14:05:00:312 50 sec: 59209 operations; 3464.6 current ops/sec; est completion in 9 hours 22 minutes [INSERT: Count=34646, Max=1409023, Min=982528, Avg=1174536.95, 90=1286143, 99=1359871, 99.9=1407999, 99.99=1409023] 
2022-01-11 14:05:10:312 60 sec: 97719 operations; 3851 current ops/sec; est completion in 6 hours 48 minutes [INSERT: Count=38510, Max=1141759, Min=966144, Avg=1042311.45, 90=1089535, 99=1123327, 99.9=1137663, 99.99=1137663] 
2022-01-11 14:05:20:311 70 sec: 137232 operations; 3951.3 current ops/sec; est completion in 5 hours 38 minutes [INSERT: Count=39513, Max=1072127, Min=933888, Avg=1010693.09, 90=1033215, 99=1056767, 99.9=1063935, 99.99=1070079] 
2022-01-11 14:05:30:311 80 sec: 177930 operations; 4069.8 current ops/sec; est completion in 4 hours 58 minutes [INSERT: Count=40698, Max=1073151, Min=883200, Avg=990720.79, 90=1020927, 99=1039871, 99.9=1058815, 99.99=1073151] 
2022-01-11 14:05:36:596 86 sec: 204458 operations; 4220.84 current ops/sec; est completion in 4 hours 39 minutes [CLEANUP: Count=4000, Max=24, Min=0, Avg=0.06, 90=0, 99=1, 99.9=12, 99.99=24] [INSERT: Count=26528, Max=1117183, Min=818176, Avg=937460.83, 90=995839, 99=1097727, 99.9=1116159, 99.99=1117183] 
