2022-01-11 13:12:17:518 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:12:27:483 10 sec: 1000 operations; 99.99 current ops/sec; est completion in 4 days 15 hours [INSERT: Count=1000, Max=9035775, Min=3586048, Avg=6676387.84, 90=8904703, 99=9035775, 99.9=9035775, 99.99=9035775] 
2022-01-11 13:12:37:483 20 sec: 3400 operations; 240.02 current ops/sec; est completion in 2 days 17 hours [INSERT: Count=2400, Max=6766591, Min=3235840, Avg=4805371.31, 90=6381567, 99=6758399, 99.9=6766591, 99.99=6766591] 
2022-01-11 13:12:47:483 30 sec: 11933 operations; 853.3 current ops/sec; est completion in 1 day 3 hours [INSERT: Count=8533, Max=3119103, Min=546304, Avg=1301095.53, 90=2377727, 99=3065855, 99.9=3098623, 99.99=3119103] 
2022-01-11 13:12:57:483 40 sec: 25239 operations; 1330.6 current ops/sec; est completion in 17 hours 35 minutes [INSERT: Count=13306, Max=1061887, Min=536064, Avg=755458.62, 90=924671, 99=945663, 99.9=953343, 99.99=1061887] 
2022-01-11 13:13:07:483 50 sec: 38309 operations; 1307 current ops/sec; est completion in 14 hours 29 minutes [INSERT: Count=13070, Max=1075199, Min=545792, Avg=757929.35, 90=925695, 99=951807, 99.9=973823, 99.99=1075199] 
2022-01-11 13:13:17:483 60 sec: 51571 operations; 1326.2 current ops/sec; est completion in 12 hours 54 minutes [INSERT: Count=13264, Max=992255, Min=537088, Avg=758072.51, 90=924671, 99=964095, 99.9=992255, 99.99=992255] 
2022-01-11 13:13:27:483 70 sec: 64830 operations; 1325.9 current ops/sec; est completion in 11 hours 58 minutes [INSERT: Count=13257, Max=951807, Min=532480, Avg=756090.47, 90=923647, 99=944127, 99.9=950271, 99.99=951807] 
2022-01-11 13:13:37:483 80 sec: 78055 operations; 1322.5 current ops/sec; est completion in 11 hours 21 minutes [INSERT: Count=13225, Max=964607, Min=537088, Avg=756767.07, 90=920575, 99=948223, 99.9=964607, 99.99=964607] 
2022-01-11 13:13:43:418 85 sec: 85683 operations; 1285.04 current ops/sec; est completion in 11 hours 7 minutes [CLEANUP: Count=1000, Max=10, Min=0, Avg=0.05, 90=0, 99=1, 99.9=10, 99.99=10] [INSERT: Count=7628, Max=956927, Min=534528, Avg=758177.9, 90=923135, 99=941567, 99.9=956415, 99.99=956927] 
