2022-01-11 13:12:17:520 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:12:27:485 10 sec: 1000 operations; 100 current ops/sec; est completion in 4 days 15 hours [INSERT: Count=1000, Max=8650751, Min=3158016, Avg=6106912.77, 90=8462335, 99=8626175, 99.9=8650751, 99.99=8650751] 
2022-01-11 13:12:37:484 20 sec: 3523 operations; 252.3 current ops/sec; est completion in 2 days 15 hours [INSERT: Count=2523, Max=6828031, Min=3100672, Avg=4813513.51, 90=6496255, 99=6815743, 99.9=6828031, 99.99=6828031] 
2022-01-11 13:12:47:485 30 sec: 12269 operations; 874.6 current ops/sec; est completion in 1 day 3 hours [INSERT: Count=8746, Max=3129343, Min=560640, Avg=1274764.35, 90=2377727, 99=2949119, 99.9=3129343, 99.99=3129343] 
2022-01-11 13:12:57:484 40 sec: 25422 operations; 1315.3 current ops/sec; est completion in 17 hours 28 minutes [INSERT: Count=13153, Max=967167, Min=536576, Avg=754895.65, 90=922623, 99=941055, 99.9=956415, 99.99=967167] 
2022-01-11 13:13:07:484 50 sec: 38606 operations; 1318.4 current ops/sec; est completion in 14 hours 22 minutes [INSERT: Count=13184, Max=976895, Min=537088, Avg=754853.17, 90=923135, 99=948223, 99.9=970751, 99.99=976383] 
2022-01-11 13:13:17:484 60 sec: 51911 operations; 1330.5 current ops/sec; est completion in 12 hours 49 minutes [INSERT: Count=13305, Max=994303, Min=535552, Avg=759394.99, 90=923647, 99=951295, 99.9=969727, 99.99=994303] 
2022-01-11 13:13:27:485 70 sec: 65047 operations; 1313.6 current ops/sec; est completion in 11 hours 56 minutes [INSERT: Count=13136, Max=956415, Min=532480, Avg=756788.11, 90=920575, 99=949759, 99.9=955903, 99.99=956415] 
2022-01-11 13:13:37:484 80 sec: 78282 operations; 1323.5 current ops/sec; est completion in 11 hours 19 minutes [INSERT: Count=13235, Max=965119, Min=537088, Avg=755664.94, 90=919551, 99=954367, 99.9=964607, 99.99=965119] 
2022-01-11 13:13:43:529 86 sec: 86040 operations; 1283.37 current ops/sec; est completion in 11 hours 5 minutes [CLEANUP: Count=1000, Max=59, Min=0, Avg=0.34, 90=0, 99=7, 99.9=58, 99.99=59] [INSERT: Count=7758, Max=988671, Min=534016, Avg=759626.58, 90=924671, 99=950271, 99.9=960511, 99.99=960511] 
