2022-01-11 13:12:17:511 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:12:27:474 10 sec: 1054 operations; 105.4 current ops/sec; est completion in 4 days 9 hours [INSERT: Count=1054, Max=7565311, Min=2373632, Avg=5505129.9, 90=7417855, 99=7561215, 99.9=7565311, 99.99=7565311] 
2022-01-11 13:12:37:474 20 sec: 3735 operations; 268.1 current ops/sec; est completion in 2 days 11 hours [INSERT: Count=2681, Max=6987775, Min=2846720, Avg=4749737.11, 90=6569983, 99=6836223, 99.9=6987775, 99.99=6987775] 
2022-01-11 13:12:47:475 30 sec: 12400 operations; 866.5 current ops/sec; est completion in 1 day 2 hours [INSERT: Count=8665, Max=2992127, Min=551424, Avg=1247064.4, 90=2089983, 99=2957311, 99.9=2977791, 99.99=2992127] 
2022-01-11 13:12:57:474 40 sec: 25687 operations; 1328.7 current ops/sec; est completion in 17 hours 17 minutes [INSERT: Count=13287, Max=956927, Min=537088, Avg=754409.8, 90=920063, 99=949247, 99.9=956927, 99.99=956927] 
2022-01-11 13:13:07:475 50 sec: 38872 operations; 1318.5 current ops/sec; est completion in 14 hours 16 minutes [INSERT: Count=13185, Max=978943, Min=541184, Avg=755708.68, 90=925695, 99=954879, 99.9=977407, 99.99=977407] 
2022-01-11 13:13:17:475 60 sec: 52108 operations; 1323.6 current ops/sec; est completion in 12 hours 46 minutes [INSERT: Count=13236, Max=994303, Min=539136, Avg=758697.78, 90=922623, 99=956415, 99.9=969727, 99.99=994303] 
2022-01-11 13:13:27:475 70 sec: 65268 operations; 1316 current ops/sec; est completion in 11 hours 53 minutes [INSERT: Count=13160, Max=955903, Min=526848, Avg=754690.33, 90=919551, 99=940543, 99.9=951807, 99.99=955903] 
2022-01-11 13:13:37:474 80 sec: 78557 operations; 1328.9 current ops/sec; est completion in 11 hours 17 minutes [INSERT: Count=13289, Max=967167, Min=537088, Avg=757189.03, 90=921599, 99=943103, 99.9=964607, 99.99=967167] 
2022-01-11 13:13:43:368 85 sec: 86303 operations; 1314.22 current ops/sec; est completion in 11 hours 2 minutes [CLEANUP: Count=1000, Max=20, Min=0, Avg=0.09, 90=0, 99=2, 99.9=18, 99.99=20] [INSERT: Count=7746, Max=958975, Min=534016, Avg=756873.09, 90=920575, 99=944639, 99.9=952319, 99.99=958975] 
