2022-01-10 14:59:05:452 0 sec: 0 operations; est completion in 0 second 
2022-01-10 14:59:15:429 10 sec: 32127 operations; 3212.7 current ops/sec; est completion in 3 hours 27 minutes [INSERT: Count=32128, Max=67071, Min=291, Avg=605.56, 90=862, 99=1564, 99.9=7103, 99.99=11359] 
2022-01-10 14:59:25:429 20 sec: 69231 operations; 3710.4 current ops/sec; est completion in 3 hours 12 minutes [INSERT: Count=37105, Max=26287, Min=284, Avg=534.7, 90=785, 99=1078, 99.9=1529, 99.99=8935] 
2022-01-10 14:59:35:429 30 sec: 108017 operations; 3878.6 current ops/sec; est completion in 3 hours 4 minutes [INSERT: Count=38787, Max=30095, Min=286, Avg=512.29, 90=752, 99=1040, 99.9=2285, 99.99=28111] 
2022-01-10 14:59:45:428 40 sec: 147916 operations; 3989.9 current ops/sec; est completion in 2 hours 59 minutes [INSERT: Count=39898, Max=34047, Min=286, Avg=497.91, 90=740, 99=979, 99.9=1234, 99.99=4955] 
2022-01-10 14:59:55:429 50 sec: 188981 operations; 4106.5 current ops/sec; est completion in 2 hours 55 minutes [INSERT: Count=41066, Max=13991, Min=283, Avg=484.03, 90=707, 99=935, 99.9=1237, 99.99=10487] 
2022-01-10 15:00:05:428 60 sec: 230978 operations; 4199.7 current ops/sec; est completion in 2 hours 52 minutes [INSERT: Count=41994, Max=15823, Min=283, Avg=473.27, 90=693, 99=935, 99.9=1234, 99.99=10631] 
2022-01-10 15:00:15:428 70 sec: 272416 operations; 4143.8 current ops/sec; est completion in 2 hours 50 minutes [INSERT: Count=41439, Max=13823, Min=278, Avg=479.87, 90=690, 99=932, 99.9=1431, 99.99=10711] 
2022-01-10 15:00:25:428 80 sec: 314564 operations; 4214.8 current ops/sec; est completion in 2 hours 48 minutes [INSERT: Count=42148, Max=11951, Min=274, Avg=471.69, 90=686, 99=923, 99.9=1151, 99.99=1625] 
2022-01-10 15:00:30:430 85 sec: 335050 operations; 4095.56 current ops/sec; est completion in 2 hours 47 minutes [CLEANUP: Count=2, Max=1, Min=0, Avg=0.5, 90=1, 99=1, 99.9=1, 99.99=1] [INSERT: Count=20485, Max=14407, Min=285, Avg=485.28, 90=713, 99=965, 99.9=2303, 99.99=12343] 
