2022-01-11 12:57:23:158 0 sec: 0 operations; est completion in 0 second 
2022-01-11 12:57:33:123 10 sec: 1200 operations; 120 current ops/sec; est completion in 3 days 20 hours [INSERT: Count=1200, Max=9265151, Min=3870720, Avg=6661686.61, 90=9240575, 99=9256959, 99.9=9265151, 99.99=9265151] 
2022-01-11 12:57:43:122 20 sec: 6109 operations; 490.9 current ops/sec; est completion in 1 day 12 hours [INSERT: Count=4909, Max=13606911, Min=2981888, Avg=7899775.97, 90=13402111, 99=13598719, 99.9=13606911, 99.99=13606911] 
2022-01-11 12:57:53:122 30 sec: 23801 operations; 1769.2 current ops/sec; est completion in 13 hours 59 minutes [INSERT: Count=17692, Max=12107775, Min=234752, Avg=2050305.89, 90=3690495, 99=11993087, 99.9=12099583, 99.99=12107775] 
2022-01-11 12:58:03:122 40 sec: 53663 operations; 2986.2 current ops/sec; est completion in 8 hours 16 minutes [INSERT: Count=29862, Max=3792895, Min=206976, Avg=1138638.56, 90=3317759, 99=3684351, 99.9=3751935, 99.99=3792895] 
2022-01-11 12:58:13:122 50 sec: 86070 operations; 3240.7 current ops/sec; est completion in 6 hours 26 minutes [INSERT: Count=32407, Max=2916351, Min=212608, Avg=877746.91, 90=2152447, 99=2818047, 99.9=2916351, 99.99=2916351] 
2022-01-11 12:58:23:122 60 sec: 122312 operations; 3624.2 current ops/sec; est completion in 5 hours 26 minutes [INSERT: Count=36242, Max=2039807, Min=209280, Avg=865256.87, 90=1789951, 99=1946623, 99.9=2000895, 99.99=2039807] 
2022-01-11 12:58:33:122 70 sec: 159369 operations; 3705.7 current ops/sec; est completion in 4 hours 51 minutes [INSERT: Count=37057, Max=1741823, Min=214528, Avg=833002.76, 90=1552383, 99=1665023, 99.9=1729535, 99.99=1741823] 
2022-01-11 12:58:43:122 80 sec: 194814 operations; 3544.5 current ops/sec; est completion in 4 hours 32 minutes [INSERT: Count=35445, Max=1778687, Min=202624, Avg=818990.97, 90=1612799, 99=1704959, 99.9=1767423, 99.99=1778687] 
2022-01-11 12:58:49:892 86 sec: 217316 operations; 3323.78 current ops/sec; est completion in 4 hours 24 minutes [CLEANUP: Count=3000, Max=16, Min=0, Avg=0.04, 90=0, 99=1, 99.9=13, 99.99=16] [INSERT: Count=22502, Max=1919999, Min=216320, Avg=858489.91, 90=1501183, 99=1677311, 99.9=1907711, 99.99=1919999] 
