2022-01-11 12:16:35:614 0 sec: 0 operations; est completion in 0 second 
2022-01-11 12:16:45:580 10 sec: 416132 operations; 41613.2 current ops/sec; est completion in 15 minutes [INSERT: Count=416230, Max=288511, Min=6240, Avg=46452.73, 90=90303, 99=166527, 99.9=227455, 99.99=236543] 
2022-01-11 12:16:55:580 20 sec: 879117 operations; 46298.5 current ops/sec; est completion in 14 minutes [INSERT: Count=462906, Max=292095, Min=6284, Avg=43156.03, 90=85887, 99=130623, 99.9=185215, 99.99=264959] 
2022-01-11 12:17:05:580 30 sec: 1326997 operations; 44788 current ops/sec; est completion in 14 minutes [INSERT: Count=447862, Max=471807, Min=6680, Avg=44678.73, 90=82687, 99=166911, 99.9=438783, 99.99=441599] 
2022-01-11 12:17:15:580 40 sec: 1783288 operations; 45629.1 current ops/sec; est completion in 14 minutes [INSERT: Count=456294, Max=333567, Min=6360, Avg=43874.65, 90=84479, 99=182143, 99.9=299263, 99.99=331775] 
2022-01-11 12:17:25:580 50 sec: 2248103 operations; 46481.5 current ops/sec; est completion in 14 minutes [INSERT: Count=464848, Max=289279, Min=6616, Avg=43039.5, 90=93119, 99=236543, 99.9=274175, 99.99=287487] 
2022-01-11 12:17:35:580 60 sec: 2721363 operations; 47326 current ops/sec; est completion in 13 minutes [INSERT: Count=473223, Max=320255, Min=6460, Avg=42213.12, 90=76863, 99=152191, 99.9=305663, 99.99=318463] 
2022-01-11 12:17:45:580 70 sec: 3167000 operations; 44563.7 current ops/sec; est completion in 13 minutes [INSERT: Count=445691, Max=451839, Min=6860, Avg=44840.11, 90=103935, 99=243839, 99.9=421375, 99.99=450559] 
2022-01-11 12:17:55:580 80 sec: 3631219 operations; 46421.9 current ops/sec; est completion in 13 minutes [INSERT: Count=464219, Max=227455, Min=6204, Avg=42812.98, 90=79359, 99=171007, 99.9=219903, 99.99=226943] 
2022-01-11 12:18:00:813 85 sec: 3874709 operations; 46520.83 current ops/sec; est completion in 13 minutes [CLEANUP: Count=2000, Max=289, Min=0, Avg=0.21, 90=0, 99=1, 99.9=18, 99.99=289] [INSERT: Count=243436, Max=214911, Min=6564, Avg=43155.75, 90=81279, 99=167935, 99.9=182655, 99.99=190335] 
