W[18:46:01,149] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005630 to 172.16.66.12:50300  decided until 1005629 received 1005925
W[18:46:01,150] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005631 to 172.16.66.12:50300  decided until 1005630 received 1005926
W[18:46:01,151] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005632 to 172.16.66.12:50300  decided until 1005631 received 1005927
W[18:46:01,152] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005633 to 172.16.66.12:50300  decided until 1005632 received 1005928
W[18:46:01,153] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005634 to 172.16.66.12:50300  decided until 1005633 received 1005929
W[18:46:01,154] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005635 to 172.16.66.12:50300  decided until 1005634 received 1005930
W[18:46:01,154] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005636 to 172.16.66.12:50300  decided until 1005635 received 1005931
W[18:46:01,155] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005637 to 172.16.66.12:50300  decided until 1005636 received 1005932
W[18:46:01,156] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005638 to 172.16.66.12:50300  decided until 1005637 received 1005933
W[18:46:01,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005639 to 172.16.66.12:50300  decided until 1005638 received 1005934
W[18:46:01,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005640 to 172.16.66.12:50300  decided until 1005639 received 1005935
W[18:46:01,158] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005641 to 172.16.66.12:50300  decided until 1005640 received 1005936
W[18:46:01,159] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005642 to 172.16.66.12:50300  decided until 1005641 received 1005937
W[18:46:01,160] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005643 to 172.16.66.12:50300  decided until 1005642 received 1005938
W[18:46:01,160] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005644 to 172.16.66.12:50300  decided until 1005643 received 1005939
W[18:46:01,161] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005645 to 172.16.66.12:50300  decided until 1005644 received 1005940
W[18:46:01,162] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005646 to 172.16.66.12:50300  decided until 1005645 received 1005941
W[18:46:01,162] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005647 to 172.16.66.12:50300  decided until 1005646 received 1005942
W[18:46:01,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005648 to 172.16.66.12:50300  decided until 1005647 received 1005943
W[18:46:01,164] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005649 to 172.16.66.12:50300  decided until 1005648 received 1005944
W[18:46:01,164] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005650 to 172.16.66.12:50300  decided until 1005649 received 1005945
W[18:46:01,165] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005651 to 172.16.66.12:50300  decided until 1005650 received 1005946
W[18:46:01,166] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005652 to 172.16.66.12:50300  decided until 1005651 received 1005947
W[18:46:01,166] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005653 to 172.16.66.12:50300  decided until 1005652 received 1005948
W[18:46:01,167] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005654 to 172.16.66.12:50300  decided until 1005653 received 1005949
W[18:46:01,168] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005655 to 172.16.66.12:50300  decided until 1005654 received 1005950
W[18:46:01,168] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005656 to 172.16.66.12:50300  decided until 1005655 received 1005951
W[18:46:01,169] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005657 to 172.16.66.12:50300  decided until 1005656 received 1005952
W[18:46:01,170] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005658 to 172.16.66.12:50300  decided until 1005657 received 1005953
W[18:46:01,171] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005659 to 172.16.66.12:50300  decided until 1005658 received 1005954
W[18:46:01,171] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005660 to 172.16.66.12:50300  decided until 1005659 received 1005955
W[18:46:01,172] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005661 to 172.16.66.12:50300  decided until 1005660 received 1005956
W[18:46:08,137] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512274 to 172.16.66.12:50300  decided until 1512273 received 1512320
W[18:46:08,137] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512275 to 172.16.66.12:50300  decided until 1512274 received 1512323
W[18:46:08,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512276 to 172.16.66.12:50300  decided until 1512275 received 1512324
W[18:46:08,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512277 to 172.16.66.12:50300  decided until 1512276 received 1512337
W[18:46:08,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512278 to 172.16.66.12:50300  decided until 1512277 received 1512353
W[18:46:08,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512279 to 172.16.66.12:50300  decided until 1512278 received 1512355
W[18:46:08,139] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512280 to 172.16.66.12:50300  decided until 1512279 received 1512356
W[18:46:08,139] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512281 to 172.16.66.12:50300  decided until 1512280 received 1512362
W[18:46:08,140] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512282 to 172.16.66.12:50300  decided until 1512281 received 1512380
W[18:46:08,141] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512283 to 172.16.66.12:50300  decided until 1512282 received 1512383
W[18:46:08,142] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512284 to 172.16.66.12:50300  decided until 1512283 received 1512393
W[18:46:08,142] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512285 to 172.16.66.12:50300  decided until 1512284 received 1512435
W[18:46:08,142] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512286 to 172.16.66.12:50300  decided until 1512285 received 1512451
W[18:46:08,142] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512287 to 172.16.66.12:50300  decided until 1512286 received 1512477
W[18:46:08,142] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512288 to 172.16.66.12:50300  decided until 1512287 received 1512493
W[18:46:08,143] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512289 to 172.16.66.12:50300  decided until 1512288 received 1512516
W[18:46:08,143] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512290 to 172.16.66.12:50300  decided until 1512289 received 1512539
W[18:46:08,143] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512291 to 172.16.66.12:50300  decided until 1512290 received 1512548
W[18:46:08,143] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512292 to 172.16.66.12:50300  decided until 1512291 received 1512549
W[18:46:08,144] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512293 to 172.16.66.12:50300  decided until 1512292 received 1512587
W[18:46:08,144] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512294 to 172.16.66.12:50300  decided until 1512293 received 1512588
W[18:46:08,144] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512295 to 172.16.66.12:50300  decided until 1512294 received 1512589
W[18:46:08,144] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512296 to 172.16.66.12:50300  decided until 1512295 received 1512590
W[18:46:08,145] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512297 to 172.16.66.12:50300  decided until 1512296 received 1512591
W[18:46:08,145] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512298 to 172.16.66.12:50300  decided until 1512297 received 1512592
W[18:46:08,145] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512299 to 172.16.66.12:50300  decided until 1512298 received 1512593
W[18:46:08,146] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512300 to 172.16.66.12:50300  decided until 1512299 received 1512594
W[18:46:08,146] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512301 to 172.16.66.12:50300  decided until 1512300 received 1512595
W[18:46:08,147] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512302 to 172.16.66.12:50300  decided until 1512301 received 1512596
W[18:46:08,147] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512303 to 172.16.66.12:50300  decided until 1512302 received 1512597
W[18:46:08,148] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512304 to 172.16.66.12:50300  decided until 1512303 received 1512598
W[18:46:08,148] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512305 to 172.16.66.12:50300  decided until 1512304 received 1512599
W[18:46:08,149] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512306 to 172.16.66.12:50300  decided until 1512305 received 1512600
W[18:46:08,149] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512307 to 172.16.66.12:50300  decided until 1512306 received 1512601
W[18:46:08,150] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512308 to 172.16.66.12:50300  decided until 1512307 received 1512602
W[18:46:08,151] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512309 to 172.16.66.12:50300  decided until 1512308 received 1512603
W[18:46:08,151] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512310 to 172.16.66.12:50300  decided until 1512309 received 1512604
W[18:46:08,152] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512311 to 172.16.66.12:50300  decided until 1512310 received 1512605
W[18:46:08,153] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512312 to 172.16.66.12:50300  decided until 1512311 received 1512606
W[18:46:08,153] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512313 to 172.16.66.12:50300  decided until 1512312 received 1512607
W[18:46:08,154] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512314 to 172.16.66.12:50300  decided until 1512313 received 1512608
W[18:46:08,154] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512315 to 172.16.66.12:50300  decided until 1512314 received 1512609
W[18:46:08,155] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512316 to 172.16.66.12:50300  decided until 1512315 received 1512610
W[18:46:08,156] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512317 to 172.16.66.12:50300  decided until 1512316 received 1512611
W[18:46:08,156] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512318 to 172.16.66.12:50300  decided until 1512317 received 1512612
W[18:46:08,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1512319 to 172.16.66.12:50300  decided until 1512318 received 1512613
W[18:46:15,150] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016285 to 172.16.66.12:50300  decided until 2016284 received 2016344
W[18:46:15,151] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016286 to 172.16.66.12:50300  decided until 2016285 received 2016345
W[18:46:15,151] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016287 to 172.16.66.12:50300  decided until 2016286 received 2016348
W[18:46:15,151] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016288 to 172.16.66.12:50300  decided until 2016287 received 2016362
W[18:46:15,152] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016289 to 172.16.66.12:50300  decided until 2016288 received 2016363
W[18:46:15,152] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016290 to 172.16.66.12:50300  decided until 2016289 received 2016369
W[18:46:15,152] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016291 to 172.16.66.12:50300  decided until 2016290 received 2016373
W[18:46:15,153] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016292 to 172.16.66.12:50300  decided until 2016291 received 2016426
W[18:46:15,153] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016293 to 172.16.66.12:50300  decided until 2016292 received 2016427
W[18:46:15,154] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016294 to 172.16.66.12:50300  decided until 2016293 received 2016457
W[18:46:15,155] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016295 to 172.16.66.12:50300  decided until 2016294 received 2016553
W[18:46:15,155] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016296 to 172.16.66.12:50300  decided until 2016295 received 2016592
W[18:46:15,156] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016297 to 172.16.66.12:50300  decided until 2016296 received 2016593
W[18:46:15,156] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016298 to 172.16.66.12:50300  decided until 2016297 received 2016594
W[18:46:15,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016299 to 172.16.66.12:50300  decided until 2016298 received 2016595
W[18:46:15,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016300 to 172.16.66.12:50300  decided until 2016299 received 2016596
W[18:46:15,158] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016301 to 172.16.66.12:50300  decided until 2016300 received 2016597
W[18:46:15,159] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016302 to 172.16.66.12:50300  decided until 2016301 received 2016598
W[18:46:15,159] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016303 to 172.16.66.12:50300  decided until 2016302 received 2016599
W[18:46:15,160] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016304 to 172.16.66.12:50300  decided until 2016303 received 2016600
W[18:46:15,161] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016305 to 172.16.66.12:50300  decided until 2016304 received 2016601
W[18:46:15,161] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016306 to 172.16.66.12:50300  decided until 2016305 received 2016602
W[18:46:15,162] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016307 to 172.16.66.12:50300  decided until 2016306 received 2016603
W[18:46:15,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016308 to 172.16.66.12:50300  decided until 2016307 received 2016604
W[18:46:15,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016309 to 172.16.66.12:50300  decided until 2016308 received 2016605
W[18:46:15,164] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016310 to 172.16.66.12:50300  decided until 2016309 received 2016606
W[18:46:15,165] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016311 to 172.16.66.12:50300  decided until 2016310 received 2016607
W[18:46:15,165] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016312 to 172.16.66.12:50300  decided until 2016311 received 2016608
W[18:46:15,166] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016313 to 172.16.66.12:50300  decided until 2016312 received 2016609
W[18:46:15,166] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016314 to 172.16.66.12:50300  decided until 2016313 received 2016610
W[18:46:15,167] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016315 to 172.16.66.12:50300  decided until 2016314 received 2016611
W[18:46:15,168] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016316 to 172.16.66.12:50300  decided until 2016315 received 2016612
W[18:46:15,169] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016317 to 172.16.66.12:50300  decided until 2016316 received 2016613
W[18:46:15,170] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016318 to 172.16.66.12:50300  decided until 2016317 received 2016614
W[18:46:15,170] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016319 to 172.16.66.12:50300  decided until 2016318 received 2016615
W[18:46:15,171] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016320 to 172.16.66.12:50300  decided until 2016319 received 2016616
W[18:46:15,172] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016321 to 172.16.66.12:50300  decided until 2016320 received 2016617
W[18:46:15,173] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016322 to 172.16.66.12:50300  decided until 2016321 received 2016618
W[18:46:15,174] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016323 to 172.16.66.12:50300  decided until 2016322 received 2016619
W[18:46:15,174] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016324 to 172.16.66.12:50300  decided until 2016323 received 2016620
W[18:46:15,175] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016325 to 172.16.66.12:50300  decided until 2016324 received 2016621
W[18:46:15,176] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016326 to 172.16.66.12:50300  decided until 2016325 received 2016622
W[18:46:15,176] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016327 to 172.16.66.12:50300  decided until 2016326 received 2016623
W[18:46:15,177] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016328 to 172.16.66.12:50300  decided until 2016327 received 2016624
W[18:46:15,177] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016329 to 172.16.66.12:50300  decided until 2016328 received 2016625
W[18:46:15,178] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016330 to 172.16.66.12:50300  decided until 2016329 received 2016626
W[18:46:15,179] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016331 to 172.16.66.12:50300  decided until 2016330 received 2016627
W[18:46:15,179] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016332 to 172.16.66.12:50300  decided until 2016331 received 2016628
W[18:46:15,180] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2016333 to 172.16.66.12:50300  decided until 2016332 received 2016629
