2022-01-11 01:25:08:037 0 sec: 0 operations; est completion in 0 second 
2022-01-11 01:25:18:002 10 sec: 2284 operations; 228.4 current ops/sec; est completion in 2 days [INSERT: Count=2284, Max=1971199, Min=83200, Avg=211109.42, 90=367359, 99=1598463, 99.9=1970175, 99.99=1971199] 
2022-01-11 01:25:28:002 20 sec: 5279 operations; 299.5 current ops/sec; est completion in 1 day 18 hours [INSERT: Count=2995, Max=449023, Min=86080, Avg=167324.29, 90=253055, 99=301823, 99.9=448767, 99.99=449023] 
2022-01-11 01:25:38:002 30 sec: 8304 operations; 302.5 current ops/sec; est completion in 1 day 16 hours [INSERT: Count=3025, Max=358655, Min=88768, Avg=165282.72, 90=245503, 99=278783, 99.9=358655, 99.99=358655] 
2022-01-11 01:25:48:002 40 sec: 11121 operations; 281.7 current ops/sec; est completion in 1 day 15 hours [INSERT: Count=2817, Max=453375, Min=90112, Avg=177148.46, 90=257279, 99=380927, 99.9=443647, 99.99=453375] 
2022-01-11 01:25:58:002 50 sec: 13598 operations; 247.7 current ops/sec; est completion in 1 day 16 hours [INSERT: Count=2477, Max=308991, Min=98240, Avg=201839.49, 90=280319, 99=293631, 99.9=307967, 99.99=308991] 
2022-01-11 01:26:08:002 60 sec: 15725 operations; 212.7 current ops/sec; est completion in 1 day 18 hours [INSERT: Count=2127, Max=544767, Min=92480, Avg=233064.47, 90=393727, 99=448511, 99.9=544767, 99.99=544767] 
2022-01-11 01:26:18:002 70 sec: 17455 operations; 173 current ops/sec; est completion in 1 day 20 hours [INSERT: Count=1730, Max=411903, Min=134528, Avg=291235, 90=384767, 99=401151, 99.9=407807, 99.99=411903] 
2022-01-11 01:26:28:002 80 sec: 20443 operations; 298.8 current ops/sec; est completion in 1 day 19 hours [INSERT: Count=2989, Max=295167, Min=90944, Avg=168047.45, 90=250879, 99=279039, 99.9=295167, 99.99=295167] 
2022-01-11 01:26:33:360 85 sec: 21969 operations; 284.75 current ops/sec; est completion in 1 day 19 hours [CLEANUP: Count=50, Max=3, Min=0, Avg=0.1, 90=0, 99=3, 99.9=3, 99.99=3] [INSERT: Count=1525, Max=367871, Min=89088, Avg=170098.26, 90=246015, 99=256255, 99.9=346623, 99.99=367871] 
