2022-01-11 01:25:08:008 0 sec: 0 operations; est completion in 0 second 
2022-01-11 01:25:17:973 10 sec: 2283 operations; 228.28 current ops/sec; est completion in 2 days [INSERT: Count=2283, Max=1983487, Min=83200, Avg=210730.4, 90=363007, 99=1454079, 99.9=1983487, 99.99=1983487] 
2022-01-11 01:25:27:973 20 sec: 5272 operations; 298.9 current ops/sec; est completion in 1 day 18 hours [INSERT: Count=2989, Max=413951, Min=86080, Avg=167611.09, 90=253183, 99=295167, 99.9=413951, 99.99=413951] 
2022-01-11 01:25:37:973 30 sec: 8301 operations; 302.9 current ops/sec; est completion in 1 day 16 hours [INSERT: Count=3029, Max=360703, Min=88576, Avg=164817.36, 90=245375, 99=269311, 99.9=358399, 99.99=360703] 
2022-01-11 01:25:47:973 40 sec: 11092 operations; 279.1 current ops/sec; est completion in 1 day 16 hours [INSERT: Count=2791, Max=517887, Min=90176, Avg=178601.99, 90=259455, 99=381951, 99.9=466687, 99.99=517887] 
2022-01-11 01:25:57:973 50 sec: 13570 operations; 247.8 current ops/sec; est completion in 1 day 16 hours [INSERT: Count=2478, Max=311807, Min=110976, Avg=202551.75, 90=280319, 99=295679, 99.9=310527, 99.99=311807] 
2022-01-11 01:26:07:974 60 sec: 15747 operations; 217.7 current ops/sec; est completion in 1 day 18 hours [INSERT: Count=2177, Max=534527, Min=92480, Avg=228607.49, 90=389119, 99=438015, 99.9=516607, 99.99=534527] 
2022-01-11 01:26:17:973 70 sec: 17466 operations; 171.9 current ops/sec; est completion in 1 day 20 hours [INSERT: Count=1719, Max=411903, Min=134528, Avg=291547.85, 90=384767, 99=402431, 99.9=408575, 99.99=411903] 
2022-01-11 01:26:27:973 80 sec: 20448 operations; 298.2 current ops/sec; est completion in 1 day 19 hours [INSERT: Count=2982, Max=296703, Min=90944, Avg=167789.63, 90=249471, 99=280575, 99.9=296191, 99.99=296703] 
2022-01-11 01:26:33:196 85 sec: 21977 operations; 292.74 current ops/sec; est completion in 1 day 19 hours [CLEANUP: Count=50, Max=3, Min=0, Avg=0.08, 90=0, 99=3, 99.9=3, 99.99=3] [INSERT: Count=1529, Max=258687, Min=89088, Avg=170275.31, 90=245375, 99=253311, 99.9=256767, 99.99=258687] 
