2022-01-11 03:15:44:980 0 sec: 0 operations; est completion in 0 second 
2022-01-11 03:15:54:944 10 sec: 2419 operations; 241.9 current ops/sec; est completion in 1 day 21 hours [INSERT: Count=2419, Max=3362815, Min=288768, Avg=1441856.13, 90=3096575, 99=3356671, 99.9=3360767, 99.99=3362815] 
2022-01-11 03:16:04:943 20 sec: 5388 operations; 296.9 current ops/sec; est completion in 1 day 17 hours [INSERT: Count=2969, Max=3033087, Min=705536, Avg=1411970.72, 90=2631679, 99=3002367, 99.9=3022847, 99.99=3033087] 
2022-01-11 03:16:14:944 30 sec: 9231 operations; 384.3 current ops/sec; est completion in 1 day 12 hours [INSERT: Count=3843, Max=2154495, Min=551424, Avg=1022283.01, 90=1389567, 99=2013183, 99.9=2148351, 99.99=2154495] 
2022-01-11 03:16:24:943 40 sec: 12048 operations; 281.7 current ops/sec; est completion in 1 day 12 hours [INSERT: Count=2817, Max=6512639, Min=477184, Avg=1194957.93, 90=2168831, 99=3815423, 99.9=6397951, 99.99=6512639] 
2022-01-11 03:16:34:943 50 sec: 14967 operations; 291.9 current ops/sec; est completion in 1 day 13 hours [INSERT: Count=2919, Max=7733247, Min=565760, Avg=1591075.08, 90=3401727, 99=7483391, 99.9=7716863, 99.99=7733247] 
2022-01-11 03:16:44:944 60 sec: 18301 operations; 333.4 current ops/sec; est completion in 1 day 12 hours [INSERT: Count=3334, Max=3303423, Min=313344, Avg=1189158.74, 90=2750463, 99=3264511, 99.9=3301375, 99.99=3303423] 
2022-01-11 03:16:54:944 70 sec: 21874 operations; 357.3 current ops/sec; est completion in 1 day 11 hours [INSERT: Count=3573, Max=1702911, Min=780800, Avg=1159267.88, 90=1340415, 99=1654783, 99.9=1701887, 99.99=1702911] 
2022-01-11 03:17:04:943 80 sec: 24675 operations; 280.1 current ops/sec; est completion in 1 day 12 hours [INSERT: Count=2801, Max=2236415, Min=504064, Avg=1341204.61, 90=2162687, 99=2220031, 99.9=2224127, 99.99=2236415] 
2022-01-11 03:17:12:132 87 sec: 26072 operations; 194.35 current ops/sec; est completion in 1 day 13 hours [CLEANUP: Count=400, Max=16, Min=0, Avg=0.14, 90=0, 99=6, 99.9=16, 99.99=16] [INSERT: Count=1397, Max=2447359, Min=1048576, Avg=1955944.82, 90=2291711, 99=2398207, 99.9=2424831, 99.99=2447359] 
