2022-01-11 02:30:17:150 0 sec: 0 operations; est completion in 0 second 
2022-01-11 02:30:27:115 10 sec: 2409 operations; 240.9 current ops/sec; est completion in 1 day 22 hours [INSERT: Count=2409, Max=9773055, Min=125760, Avg=389120.11, 90=339455, 99=2220031, 99.9=9707519, 99.99=9773055] 
2022-01-11 02:30:37:115 20 sec: 5138 operations; 272.9 current ops/sec; est completion in 1 day 19 hours [INSERT: Count=2729, Max=11681791, Min=177024, Avg=720867.9, 90=304639, 99=11444223, 99.9=11681791, 99.99=11681791] 
2022-01-11 02:30:47:115 30 sec: 5948 operations; 81 current ops/sec; est completion in 2 days 8 hours [INSERT: Count=810, Max=11067391, Min=144896, Avg=3174662.95, 90=9125887, 99=10944511, 99.9=11067391, 99.99=11067391] 
2022-01-11 02:30:57:115 40 sec: 7725 operations; 177.7 current ops/sec; est completion in 2 days 9 hours [INSERT: Count=1777, Max=4065279, Min=387328, Avg=1367925.77, 90=3239935, 99=3985407, 99.9=4048895, 99.99=4065279] 
2022-01-11 02:31:07:115 50 sec: 11632 operations; 390.7 current ops/sec; est completion in 1 day 23 hours [INSERT: Count=3907, Max=1342463, Min=222208, Avg=505474.57, 90=689663, 99=1288191, 99.9=1342463, 99.99=1342463] 
2022-01-11 02:31:17:115 60 sec: 14841 operations; 320.9 current ops/sec; est completion in 1 day 20 hours [INSERT: Count=3209, Max=888831, Min=495872, Avg=625739.23, 90=701951, 99=792063, 99.9=878591, 99.99=888831] 
2022-01-11 02:31:27:115 70 sec: 18819 operations; 397.8 current ops/sec; est completion in 1 day 17 hours [INSERT: Count=3978, Max=706047, Min=269056, Avg=501168.81, 90=643583, 99=676351, 99.9=695295, 99.99=706047] 
2022-01-11 02:31:37:115 80 sec: 21449 operations; 263 current ops/sec; est completion in 1 day 17 hours [INSERT: Count=2630, Max=1311743, Min=347648, Avg=752208.55, 90=1025023, 99=1205247, 99.9=1305599, 99.99=1311743] 
2022-01-11 02:31:43:203 86 sec: 22813 operations; 224.05 current ops/sec; est completion in 1 day 17 hours [CLEANUP: Count=200, Max=17, Min=0, Avg=0.16, 90=0, 99=3, 99.9=17, 99.99=17] [INSERT: Count=1364, Max=1294335, Min=665600, Avg=858785.78, 90=1182719, 99=1271807, 99.9=1294335, 99.99=1294335] 
