2022-01-12 18:16:26:363 0 sec: 0 operations; est completion in 0 second 
2022-01-12 18:16:36:328 10 sec: 254386 operations; 25436.06 current ops/sec; est completion in 52 minutes [INSERT: Count=254431, Max=184447, Min=406, Avg=3837.01, 90=4811, 99=6979, 99.9=169599, 99.99=184319] 
2022-01-12 18:16:46:328 20 sec: 517281 operations; 26289.5 current ops/sec; est completion in 51 minutes [INSERT: Count=262892, Max=215679, Min=910, Avg=3802.37, 90=4579, 99=5947, 99.9=69055, 99.99=215295] 
2022-01-12 18:16:56:328 30 sec: 780147 operations; 26286.6 current ops/sec; est completion in 50 minutes [INSERT: Count=262837, Max=88831, Min=335, Avg=3802.88, 90=4667, 99=6123, 99.9=74495, 99.99=87935] 
2022-01-12 18:17:06:328 40 sec: 1053694 operations; 27354.7 current ops/sec; est completion in 49 minutes [INSERT: Count=273534, Max=86847, Min=520, Avg=3628.6, 90=4531, 99=5951, 99.9=74751, 99.99=86143] 
2022-01-12 18:17:16:328 50 sec: 1321858 operations; 26816.4 current ops/sec; est completion in 49 minutes [INSERT: Count=268187, Max=103167, Min=723, Avg=3754.61, 90=4679, 99=6011, 99.9=82623, 99.99=102847] 
2022-01-12 18:17:26:328 60 sec: 1584932 operations; 26307.4 current ops/sec; est completion in 49 minutes [INSERT: Count=263054, Max=159871, Min=360, Avg=3800.23, 90=4651, 99=5919, 99.9=80767, 99.99=155647] 
2022-01-12 18:17:36:328 70 sec: 1847984 operations; 26305.2 current ops/sec; est completion in 49 minutes [INSERT: Count=263052, Max=90943, Min=851, Avg=3800.6, 90=4687, 99=6067, 99.9=84351, 99.99=90111] 
2022-01-12 18:17:46:328 80 sec: 2118010 operations; 27002.6 current ops/sec; est completion in 49 minutes [INSERT: Count=270042, Max=198399, Min=599, Avg=3702.03, 90=4511, 99=5891, 99.9=75519, 99.99=197503] 
2022-01-12 18:17:51:347 85 sec: 2253755 operations; 27051.61 current ops/sec; est completion in 48 minutes [CLEANUP: Count=100, Max=2, Min=0, Avg=0.03, 90=0, 99=1, 99.9=2, 99.99=2] [INSERT: Count=135726, Max=77311, Min=715, Avg=3696.79, 90=4579, 99=6043, 99.9=75007, 99.99=76927] 
