2022-01-11 13:02:50:970 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:03:00:931 10 sec: 5788 operations; 578.8 current ops/sec; est completion in 19 hours 11 minutes [INSERT: Count=5788, Max=6864895, Min=679424, Avg=4249967.94, 90=5799935, 99=6299647, 99.9=6864895, 99.99=6864895] 
2022-01-11 13:03:10:931 20 sec: 12064 operations; 627.6 current ops/sec; est completion in 18 hours 24 minutes [INSERT: Count=6276, Max=5640191, Min=2955264, Avg=4405769.14, 90=5140479, 99=5627903, 99.9=5640191, 99.99=5640191] 
2022-01-11 13:03:20:931 30 sec: 33000 operations; 2093.6 current ops/sec; est completion in 10 hours 5 minutes [INSERT: Count=20936, Max=2985983, Min=1004544, Avg=1694366.97, 90=2768895, 99=2945023, 99.9=2971647, 99.99=2985983] 
2022-01-11 13:03:30:931 40 sec: 75000 operations; 4200 current ops/sec; est completion in 5 hours 54 minutes [INSERT: Count=42000, Max=974335, Min=518400, Avg=721290.15, 90=888319, 99=963071, 99.9=971775, 99.99=974335] 
2022-01-11 13:03:40:931 50 sec: 126658 operations; 5165.8 current ops/sec; est completion in 4 hours 22 minutes [INSERT: Count=51658, Max=683519, Min=498176, Avg=580501.86, 90=655359, 99=677887, 99.9=683007, 99.99=683519] 
2022-01-11 13:03:50:931 60 sec: 182273 operations; 5561.5 current ops/sec; est completion in 3 hours 38 minutes [INSERT: Count=55615, Max=631807, Min=481536, Avg=547411.8, 90=584191, 99=613887, 99.9=619519, 99.99=631807] 
2022-01-11 13:04:00:931 70 sec: 238659 operations; 5638.6 current ops/sec; est completion in 3 hours 14 minutes [INSERT: Count=56386, Max=623103, Min=436992, Avg=527954.31, 90=544767, 99=559103, 99.9=613375, 99.99=619007] 
2022-01-11 13:04:10:931 80 sec: 295706 operations; 5704.7 current ops/sec; est completion in 2 hours 59 minutes [INSERT: Count=57050, Max=595967, Min=463104, Avg=525590.21, 90=539135, 99=551423, 99.9=589823, 99.99=595967] 
2022-01-11 13:04:16:637 85 sec: 328268 operations; 5706.62 current ops/sec; est completion in 2 hours 52 minutes [CLEANUP: Count=3000, Max=344, Min=0, Avg=0.71, 90=0, 99=1, 99.9=266, 99.99=344] [INSERT: Count=32559, Max=563711, Min=489472, Avg=525796.66, 90=539135, 99=547839, 99.9=557567, 99.99=563711] 
