2022-01-12 21:43:51:746 0 sec: 0 operations; est completion in 0 second 
2022-01-12 21:44:01:710 10 sec: 51757 operations; 5175.7 current ops/sec; est completion in 4 hours 17 minutes [INSERT: Count=51757, Max=62591, Min=13320, Avg=37169.46, 90=43999, 99=51903, 99.9=55487, 99.99=62431] 
2022-01-12 21:44:11:710 20 sec: 97869 operations; 4611.2 current ops/sec; est completion in 4 hours 32 minutes [INSERT: Count=46112, Max=463103, Min=24176, Avg=43667.28, 90=42943, 99=426239, 99.9=462079, 99.99=462847] 
2022-01-12 21:44:21:710 30 sec: 148321 operations; 5045.2 current ops/sec; est completion in 4 hours 29 minutes [INSERT: Count=50455, Max=551935, Min=23728, Avg=39936.79, 90=44223, 99=161279, 99.9=551423, 99.99=551935] 
2022-01-12 21:44:31:710 40 sec: 204015 operations; 5569.4 current ops/sec; est completion in 4 hours 20 minutes [INSERT: Count=55692, Max=113919, Min=17440, Avg=35886.65, 90=42303, 99=105343, 99.9=113535, 99.99=113855] 
2022-01-12 21:44:41:710 50 sec: 259425 operations; 5541 current ops/sec; est completion in 4 hours 16 minutes [INSERT: Count=55411, Max=126271, Min=24336, Avg=36108.86, 90=43199, 99=82751, 99.9=125183, 99.99=126207] 
2022-01-12 21:44:51:710 60 sec: 315049 operations; 5562.4 current ops/sec; est completion in 4 hours 12 minutes [INSERT: Count=55626, Max=108479, Min=22704, Avg=35949.1, 90=43423, 99=98879, 99.9=107647, 99.99=108351] 
2022-01-12 21:45:01:710 70 sec: 371158 operations; 5610.9 current ops/sec; est completion in 4 hours 10 minutes [INSERT: Count=56105, Max=121407, Min=22752, Avg=35652.13, 90=42463, 99=96703, 99.9=119743, 99.99=120895] 
2022-01-12 21:45:11:710 80 sec: 426436 operations; 5527.8 current ops/sec; est completion in 4 hours 8 minutes [INSERT: Count=55279, Max=120511, Min=2734, Avg=36186.8, 90=43423, 99=99775, 99.9=119039, 99.99=120127] 
2022-01-12 21:45:16:763 85 sec: 454993 operations; 5651.49 current ops/sec; est completion in 4 hours 7 minutes [CLEANUP: Count=200, Max=3, Min=0, Avg=0.01, 90=0, 99=0, 99.9=3, 99.99=3] [INSERT: Count=28556, Max=114879, Min=22640, Avg=35373.18, 90=43423, 99=95167, 99.9=113983, 99.99=114687] 
