2022-01-11 20:09:11:117 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:09:21:073 10 sec: 15733 operations; 1573.3 current ops/sec; est completion in 7 hours 3 minutes [INSERT: Count=15930, Max=3698687, Min=1981440, Avg=2464483.23, 90=3594239, 99=3641343, 99.9=3696639, 99.99=3698687] 
2022-01-11 20:09:31:073 20 sec: 45000 operations; 2926.7 current ops/sec; est completion in 4 hours 55 minutes [INSERT: Count=29070, Max=2015231, Min=1489920, Avg=1772893.12, 90=1987583, 99=1999871, 99.9=2010111, 99.99=2014207] 
2022-01-11 20:09:41:073 30 sec: 91103 operations; 4610.3 current ops/sec; est completion in 3 hours 39 minutes [INSERT: Count=46103, Max=1822719, Min=534528, Avg=1149613, 90=1694719, 99=1794047, 99.9=1813503, 99.99=1822719] 
2022-01-11 20:09:51:073 40 sec: 150000 operations; 5889.7 current ops/sec; est completion in 2 hours 57 minutes [INSERT: Count=58897, Max=907263, Min=838656, Avg=874719.51, 90=885247, 99=897535, 99.9=907263, 99.99=907263] 
2022-01-11 20:10:01:073 50 sec: 205827 operations; 5582.7 current ops/sec; est completion in 2 hours 41 minutes [INSERT: Count=55827, Max=948735, Min=791552, Avg=871523.21, 90=880639, 99=890879, 99.9=948735, 99.99=948735] 
2022-01-11 20:10:11:073 60 sec: 265000 operations; 5917.3 current ops/sec; est completion in 2 hours 29 minutes [INSERT: Count=59173, Max=956927, Min=779264, Avg=872877.42, 90=884735, 99=933887, 99.9=954367, 99.99=956415] 
2022-01-11 20:10:21:073 70 sec: 320628 operations; 5562.8 current ops/sec; est completion in 2 hours 24 minutes [INSERT: Count=55649, Max=942591, Min=796160, Avg=872383.91, 90=888319, 99=925695, 99.9=941055, 99.99=942591] 
2022-01-11 20:10:31:073 80 sec: 379885 operations; 5925.7 current ops/sec; est completion in 2 hours 19 minutes [INSERT: Count=59315, Max=935423, Min=812544, Avg=871804.84, 90=892927, 99=926207, 99.9=935423, 99.99=935423] 
2022-01-11 20:10:41:073 90 sec: 435684 operations; 5579.9 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=55720, Max=935935, Min=799744, Avg=871352.88, 90=886271, 99=907263, 99.9=932863, 99.99=935935] 
2022-01-11 20:10:51:073 100 sec: 493675 operations; 5799.1 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=58066, Max=954367, Min=814080, Avg=871372.94, 90=888319, 99=911871, 99.9=933375, 99.99=933887] 
2022-01-11 20:11:01:073 110 sec: 550702 operations; 5702.7 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=56952, Max=952831, Min=779264, Avg=871600.11, 90=887807, 99=907263, 99.9=936447, 99.99=952319] 
2022-01-11 20:11:11:072 120 sec: 607800 operations; 5709.8 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=57098, Max=953855, Min=797696, Avg=872142.17, 90=887807, 99=907263, 99.9=937983, 99.99=953855] 
2022-01-11 20:11:18:337 127 sec: 664879 operations; 7856.71 current ops/sec; est completion in 2 hours 5 minutes [CLEANUP: Count=5000, Max=42, Min=0, Avg=0.04, 90=0, 99=0, 99.9=12, 99.99=39] [INSERT: Count=57079, Max=932351, Min=210432, Avg=670386.89, 90=885759, 99=904703, 99.9=927743, 99.99=929279] 
