2022-01-11 14:13:31:178 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:13:41:139 10 sec: 44100 operations; 4410 current ops/sec; est completion in 2 hours 31 minutes [INSERT: Count=44100, Max=1550335, Min=240896, Avg=434107.88, 90=535039, 99=1531903, 99.9=1550335, 99.99=1550335] 
2022-01-11 14:13:51:139 20 sec: 84708 operations; 4060.8 current ops/sec; est completion in 2 hours 37 minutes [INSERT: Count=40608, Max=1176575, Min=226560, Avg=484959.65, 90=546303, 99=1122303, 99.9=1168383, 99.99=1168383] 
2022-01-11 14:14:01:138 30 sec: 132110 operations; 4740.2 current ops/sec; est completion in 2 hours 30 minutes [INSERT: Count=47402, Max=636927, Min=252288, Avg=427670.95, 90=448255, 99=531455, 99.9=606207, 99.99=625663] 
2022-01-11 14:14:11:139 40 sec: 179609 operations; 4749.9 current ops/sec; est completion in 2 hours 27 minutes [INSERT: Count=47499, Max=585215, Min=246656, Avg=416436.74, 90=433151, 99=528895, 99.9=577023, 99.99=577535] 
2022-01-11 14:14:21:139 50 sec: 233302 operations; 5369.3 current ops/sec; est completion in 2 hours 22 minutes [INSERT: Count=53693, Max=494591, Min=281856, Avg=374511.72, 90=409599, 99=450815, 99.9=494335, 99.99=494591] 
2022-01-11 14:14:31:138 60 sec: 290160 operations; 5685.8 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=56858, Max=446719, Min=257664, Avg=352317.8, 90=370687, 99=423167, 99.9=446463, 99.99=446719] 
2022-01-11 14:14:41:138 70 sec: 345924 operations; 5576.4 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=55764, Max=495615, Min=259968, Avg=357818.91, 90=382975, 99=453119, 99.9=491007, 99.99=495615] 
2022-01-11 14:14:51:139 80 sec: 403140 operations; 5721.6 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=57220, Max=468991, Min=272640, Avg=351382.81, 90=361727, 99=439807, 99.9=460543, 99.99=465663] 
2022-01-11 14:15:01:139 90 sec: 459850 operations; 5671 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=56706, Max=438527, Min=253568, Avg=351531.1, 90=365567, 99=410111, 99.9=435199, 99.99=438527] 
2022-01-11 14:15:11:139 100 sec: 515459 operations; 5560.9 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=55609, Max=438015, Min=255360, Avg=360223.47, 90=390143, 99=425471, 99.9=434943, 99.99=436991] 
2022-01-11 14:15:16:603 105 sec: 546457 operations; 5673.13 current ops/sec; est completion in 2 hours 6 minutes [CLEANUP: Count=2000, Max=40, Min=0, Avg=0.08, 90=0, 99=1, 99.9=16, 99.99=40] [INSERT: Count=30998, Max=446719, Min=287488, Avg=353555.1, 90=367615, 99=439039, 99.9=446719, 99.99=446719] 
