2022-01-11 14:13:31:186 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:13:41:152 10 sec: 44128 operations; 4412.8 current ops/sec; est completion in 2 hours 30 minutes [INSERT: Count=44128, Max=1531903, Min=262656, Avg=434177.15, 90=525823, 99=1516543, 99.9=1529855, 99.99=1531903] 
2022-01-11 14:13:51:152 20 sec: 84726 operations; 4059.8 current ops/sec; est completion in 2 hours 37 minutes [INSERT: Count=40598, Max=1182719, Min=226432, Avg=483929.01, 90=546303, 99=1102847, 99.9=1176575, 99.99=1180671] 
2022-01-11 14:14:01:152 30 sec: 132321 operations; 4759.5 current ops/sec; est completion in 2 hours 30 minutes [INSERT: Count=47596, Max=637439, Min=252288, Avg=428209.8, 90=449535, 99=540159, 99.9=605695, 99.99=637439] 
2022-01-11 14:14:11:151 40 sec: 180313 operations; 4799.2 current ops/sec; est completion in 2 hours 27 minutes [INSERT: Count=48006, Max=585215, Min=246784, Avg=415597.41, 90=430847, 99=492543, 99.9=575999, 99.99=585215] 
2022-01-11 14:14:21:152 50 sec: 233460 operations; 5314.7 current ops/sec; est completion in 2 hours 21 minutes [INSERT: Count=53142, Max=501247, Min=279808, Avg=374281.97, 90=408319, 99=460543, 99.9=489215, 99.99=501247] 
2022-01-11 14:14:31:151 60 sec: 290382 operations; 5692.2 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=56913, Max=446719, Min=258048, Avg=352188.57, 90=369151, 99=417279, 99.9=427775, 99.99=446463] 
2022-01-11 14:14:41:151 70 sec: 346144 operations; 5576.2 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=55761, Max=496127, Min=260736, Avg=358555.55, 90=386559, 99=436991, 99.9=495871, 99.99=496127] 
2022-01-11 14:14:51:152 80 sec: 403200 operations; 5705.6 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=57056, Max=463871, Min=277504, Avg=351244.37, 90=362239, 99=440319, 99.9=455423, 99.99=463615] 
2022-01-11 14:15:01:151 90 sec: 460088 operations; 5688.8 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=56888, Max=438783, Min=252800, Avg=351065.16, 90=365055, 99=422911, 99.9=435967, 99.99=438783] 
2022-01-11 14:15:11:151 100 sec: 515915 operations; 5582.7 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=55831, Max=436991, Min=254976, Avg=359454.06, 90=390143, 99=427775, 99.9=434687, 99.99=435455] 
2022-01-11 14:15:16:605 105 sec: 546601 operations; 5627.36 current ops/sec; est completion in 2 hours 6 minutes [CLEANUP: Count=2000, Max=39, Min=0, Avg=0.12, 90=0, 99=1, 99.9=36, 99.99=39] [INSERT: Count=30682, Max=456959, Min=287744, Avg=353445.39, 90=366079, 99=442879, 99.9=456959, 99.99=456959] 
