2022-01-11 14:16:07:166 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:16:17:129 10 sec: 18069 operations; 1806.72 current ops/sec; est completion in 6 hours 8 minutes [INSERT: Count=18069, Max=4288511, Min=822272, Avg=1522692.43, 90=3391487, 99=4263935, 99.9=4288511, 99.99=4288511] 
2022-01-11 14:16:27:130 20 sec: 45469 operations; 2740 current ops/sec; est completion in 4 hours 52 minutes [INSERT: Count=27400, Max=1464319, Min=532480, Avg=1063620.9, 90=1387519, 99=1448959, 99.9=1456127, 99.99=1464319] 
2022-01-11 14:16:37:129 30 sec: 69343 operations; 2387.4 current ops/sec; est completion in 4 hours 47 minutes [INSERT: Count=23874, Max=2008063, Min=507904, Avg=1271514.82, 90=1813503, 99=1959935, 99.9=2003967, 99.99=2003967] 
2022-01-11 14:16:47:130 40 sec: 95169 operations; 2582.6 current ops/sec; est completion in 4 hours 39 minutes [INSERT: Count=25850, Max=1298431, Min=1031680, Avg=1189392.62, 90=1258495, 99=1277951, 99.9=1285119, 99.99=1298431] 
2022-01-11 14:16:57:129 50 sec: 133560 operations; 3839.1 current ops/sec; est completion in 4 hours 8 minutes [INSERT: Count=38367, Max=1072127, Min=527872, Avg=793424.58, 90=996351, 99=1052671, 99.9=1062911, 99.99=1072127] 
2022-01-11 14:17:07:129 60 sec: 189858 operations; 5629.8 current ops/sec; est completion in 3 hours 29 minutes [INSERT: Count=56298, Max=627711, Min=447232, Avg=533754.67, 90=567807, 99=605183, 99.9=624639, 99.99=625151] 
2022-01-11 14:17:17:129 70 sec: 247188 operations; 5733 current ops/sec; est completion in 3 hours 7 minutes [INSERT: Count=57330, Max=599551, Min=428544, Avg=523742.21, 90=537599, 99=575487, 99.9=599551, 99.99=599551] 
2022-01-11 14:17:27:130 80 sec: 304329 operations; 5714.1 current ops/sec; est completion in 2 hours 53 minutes [INSERT: Count=57141, Max=603647, Min=435200, Avg=523793.11, 90=536063, 99=557055, 99.9=594431, 99.99=603647] 
2022-01-11 14:17:37:129 90 sec: 361735 operations; 5740.6 current ops/sec; est completion in 2 hours 44 minutes [INSERT: Count=57406, Max=602623, Min=458752, Avg=523818, 90=535039, 99=584703, 99.9=597503, 99.99=602623] 
2022-01-11 14:17:47:129 100 sec: 419207 operations; 5747.2 current ops/sec; est completion in 2 hours 37 minutes [INSERT: Count=57472, Max=586751, Min=439552, Avg=522365.39, 90=532479, 99=557055, 99.9=582655, 99.99=586751] 
2022-01-11 14:17:52:841 105 sec: 451931 operations; 5728.99 current ops/sec; est completion in 2 hours 34 minutes [CLEANUP: Count=3000, Max=24, Min=0, Avg=0.04, 90=0, 99=1, 99.9=11, 99.99=24] [INSERT: Count=32724, Max=606719, Min=435200, Avg=522356.37, 90=531967, 99=572415, 99.9=598015, 99.99=606719] 
