2022-01-11 14:16:07:172 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:16:17:131 10 sec: 18031 operations; 1802.92 current ops/sec; est completion in 6 hours 9 minutes [INSERT: Count=18031, Max=4431871, Min=910848, Avg=1535011.25, 90=3594239, 99=4395007, 99.9=4427775, 99.99=4431871] 
2022-01-11 14:16:27:131 20 sec: 45324 operations; 2729.3 current ops/sec; est completion in 4 hours 53 minutes [INSERT: Count=27293, Max=1468415, Min=532992, Avg=1067308.1, 90=1389567, 99=1449983, 99.9=1464319, 99.99=1468415] 
2022-01-11 14:16:37:131 30 sec: 69249 operations; 2392.5 current ops/sec; est completion in 4 hours 48 minutes [INSERT: Count=23925, Max=2008063, Min=507904, Avg=1273068.51, 90=1835007, 99=1972223, 99.9=2003967, 99.99=2003967] 
2022-01-11 14:16:47:131 40 sec: 94599 operations; 2535 current ops/sec; est completion in 4 hours 41 minutes [INSERT: Count=25381, Max=1298431, Min=1032192, Avg=1190444.4, 90=1258495, 99=1278975, 99.9=1289215, 99.99=1298431] 
2022-01-11 14:16:57:131 50 sec: 133049 operations; 3845 current ops/sec; est completion in 4 hours 9 minutes [INSERT: Count=38419, Max=1069055, Min=527872, Avg=795915.05, 90=1001471, 99=1055743, 99.9=1061887, 99.99=1069055] 
2022-01-11 14:17:07:131 60 sec: 189716 operations; 5666.7 current ops/sec; est completion in 3 hours 29 minutes [INSERT: Count=56667, Max=627711, Min=445184, Avg=533877.61, 90=571391, 99=601087, 99.9=624127, 99.99=627711] 
2022-01-11 14:17:17:130 70 sec: 246867 operations; 5715.1 current ops/sec; est completion in 3 hours 7 minutes [INSERT: Count=57151, Max=599039, Min=428544, Avg=523490.91, 90=535551, 99=570879, 99.9=598015, 99.99=599039] 
2022-01-11 14:17:27:130 80 sec: 304236 operations; 5736.9 current ops/sec; est completion in 2 hours 53 minutes [INSERT: Count=57369, Max=605183, Min=435456, Avg=523826.09, 90=536063, 99=568831, 99.9=604671, 99.99=604671] 
2022-01-11 14:17:37:131 90 sec: 361576 operations; 5734 current ops/sec; est completion in 2 hours 44 minutes [INSERT: Count=57340, Max=602111, Min=460288, Avg=523303.86, 90=535039, 99=572415, 99.9=592383, 99.99=595967] 
2022-01-11 14:17:47:130 100 sec: 418868 operations; 5729.2 current ops/sec; est completion in 2 hours 37 minutes [INSERT: Count=57292, Max=593407, Min=446208, Avg=522865.38, 90=532479, 99=565247, 99.9=586751, 99.99=593407] 
2022-01-11 14:17:52:841 105 sec: 451799 operations; 5767.25 current ops/sec; est completion in 2 hours 34 minutes [CLEANUP: Count=3000, Max=11, Min=0, Avg=0.04, 90=0, 99=1, 99.9=10, 99.99=11] [INSERT: Count=32931, Max=607231, Min=435200, Avg=522079.9, 90=532479, 99=574463, 99.9=606719, 99.99=607231] 
