2022-01-11 14:16:07:167 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:16:17:131 10 sec: 18024 operations; 1802.22 current ops/sec; est completion in 6 hours 9 minutes [INSERT: Count=18032, Max=4378623, Min=885248, Avg=1532158.69, 90=3502079, 99=4341759, 99.9=4366335, 99.99=4378623] 
2022-01-11 14:16:27:132 20 sec: 45311 operations; 2728.97 current ops/sec; est completion in 4 hours 53 minutes [INSERT: Count=27280, Max=1468415, Min=532992, Avg=1066941.13, 90=1388543, 99=1443839, 99.9=1462271, 99.99=1468415] 
2022-01-11 14:16:37:132 30 sec: 69243 operations; 2393.2 current ops/sec; est completion in 4 hours 48 minutes [INSERT: Count=23931, Max=2009087, Min=508160, Avg=1273067.69, 90=1861631, 99=1957887, 99.9=2009087, 99.99=2009087] 
2022-01-11 14:16:47:132 40 sec: 94679 operations; 2543.35 current ops/sec; est completion in 4 hours 41 minutes [INSERT: Count=25527, Max=1286143, Min=1031168, Avg=1190257.6, 90=1257471, 99=1273855, 99.9=1286143, 99.99=1286143] 
2022-01-11 14:16:57:132 50 sec: 133092 operations; 3841.68 current ops/sec; est completion in 4 hours 9 minutes [INSERT: Count=38322, Max=1067007, Min=527872, Avg=796438.12, 90=1005567, 99=1056767, 99.9=1060863, 99.99=1067007] 
2022-01-11 14:17:07:131 60 sec: 189688 operations; 5659.6 current ops/sec; est completion in 3 hours 29 minutes [INSERT: Count=56609, Max=629759, Min=446976, Avg=534592.08, 90=571391, 99=602111, 99.9=625151, 99.99=629759] 
2022-01-11 14:17:17:131 70 sec: 246776 operations; 5708.8 current ops/sec; est completion in 3 hours 7 minutes [INSERT: Count=57075, Max=599039, Min=437760, Avg=523908.67, 90=536575, 99=569343, 99.9=596991, 99.99=599039] 
2022-01-11 14:17:27:131 80 sec: 304022 operations; 5724.6 current ops/sec; est completion in 2 hours 54 minutes [INSERT: Count=57246, Max=604671, Min=435456, Avg=524426.78, 90=536063, 99=567807, 99.9=604159, 99.99=604159] 
2022-01-11 14:17:37:131 90 sec: 361272 operations; 5725 current ops/sec; est completion in 2 hours 44 minutes [INSERT: Count=57250, Max=593919, Min=458752, Avg=523022.87, 90=534527, 99=568319, 99.9=575999, 99.99=593919] 
2022-01-11 14:17:47:131 100 sec: 418612 operations; 5734 current ops/sec; est completion in 2 hours 37 minutes [INSERT: Count=57396, Max=586239, Min=446208, Avg=523864.27, 90=534527, 99=577023, 99.9=582655, 99.99=586239] 
2022-01-11 14:17:52:840 105 sec: 451515 operations; 5763.36 current ops/sec; est completion in 2 hours 34 minutes [CLEANUP: Count=3000, Max=14, Min=0, Avg=0.04, 90=0, 99=0, 99.9=12, 99.99=14] [INSERT: Count=32847, Max=598527, Min=444416, Avg=521887.8, 90=531967, 99=546815, 99.9=598527, 99.99=598527] 
