2022-01-11 20:09:11:125 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:09:21:082 10 sec: 20977 operations; 2097.7 current ops/sec; est completion in 5 hours 17 minutes [INSERT: Count=20977, Max=2564095, Min=965120, Avg=2034937.58, 90=2273279, 99=2559999, 99.9=2564095, 99.99=2564095] 
2022-01-11 20:09:31:082 20 sec: 50598 operations; 2962.1 current ops/sec; est completion in 4 hours 23 minutes [INSERT: Count=29621, Max=2076671, Min=1403904, Avg=1741918.46, 90=1975295, 99=2006015, 99.9=2068479, 99.99=2076671] 
2022-01-11 20:09:41:081 30 sec: 97173 operations; 4657.5 current ops/sec; est completion in 3 hours 25 minutes [INSERT: Count=46575, Max=2022399, Min=524800, Avg=1103343.17, 90=1668095, 99=1988607, 99.9=2020351, 99.99=2022399] 
2022-01-11 20:09:51:082 40 sec: 155289 operations; 5811.6 current ops/sec; est completion in 2 hours 51 minutes [INSERT: Count=58116, Max=995839, Min=743424, Avg=873296.6, 90=883199, 99=901631, 99.9=969727, 99.99=993791] 
2022-01-11 20:10:01:082 50 sec: 211631 operations; 5634.2 current ops/sec; est completion in 2 hours 36 minutes [INSERT: Count=56342, Max=950271, Min=792064, Avg=871033.1, 90=883199, 99=943103, 99.9=949759, 99.99=950271] 
2022-01-11 20:10:11:081 60 sec: 270305 operations; 5867.4 current ops/sec; est completion in 2 hours 26 minutes [INSERT: Count=58674, Max=953855, Min=778752, Avg=871208.73, 90=883711, 99=913919, 99.9=951295, 99.99=953855] 
2022-01-11 20:10:21:082 70 sec: 326606 operations; 5630.1 current ops/sec; est completion in 2 hours 21 minutes [INSERT: Count=56323, Max=943103, Min=796672, Avg=871468.72, 90=884223, 99=908287, 99.9=943103, 99.99=943103] 
2022-01-11 20:10:31:081 80 sec: 384704 operations; 5809.8 current ops/sec; est completion in 2 hours 17 minutes [INSERT: Count=58114, Max=933887, Min=812544, Avg=870939.64, 90=891903, 99=922111, 99.9=933887, 99.99=933887] 
2022-01-11 20:10:41:082 90 sec: 441653 operations; 5694.9 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=56911, Max=936959, Min=799744, Avg=871019.62, 90=886783, 99=907263, 99.9=936959, 99.99=936959] 
2022-01-11 20:10:51:082 100 sec: 498856 operations; 5720.3 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=57203, Max=954367, Min=813568, Avg=872037.2, 90=889855, 99=904191, 99.9=930815, 99.99=954367] 
2022-01-11 20:11:01:081 110 sec: 556512 operations; 5765.6 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=57656, Max=952831, Min=779264, Avg=870280.34, 90=887295, 99=907775, 99.9=946175, 99.99=952319] 
2022-01-11 20:11:11:082 120 sec: 613520 operations; 5700.8 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=57008, Max=954367, Min=797696, Avg=871217.64, 90=888319, 99=911359, 99.9=954367, 99.99=954367] 
2022-01-11 20:11:17:365 126 sec: 650409 operations; 5870.31 current ops/sec; est completion in 2 hours 7 minutes [CLEANUP: Count=5000, Max=22, Min=0, Avg=0.03, 90=0, 99=0, 99.9=11, 99.99=22] [INSERT: Count=36889, Max=929279, Min=825856, Avg=871527.27, 90=889343, 99=910335, 99.9=927231, 99.99=929279] 
