2022-01-11 20:09:11:118 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:09:21:077 10 sec: 21771 operations; 2177.1 current ops/sec; est completion in 5 hours 6 minutes [INSERT: Count=21771, Max=2275327, Min=953344, Avg=1976135.36, 90=2062335, 99=2254847, 99.9=2275327, 99.99=2275327] 
2022-01-11 20:09:31:077 20 sec: 51140 operations; 2936.9 current ops/sec; est completion in 4 hours 20 minutes [INSERT: Count=29369, Max=2079743, Min=1403904, Avg=1741449.34, 90=1975295, 99=1994751, 99.9=2031615, 99.99=2079743] 
2022-01-11 20:09:41:077 30 sec: 98285 operations; 4714.5 current ops/sec; est completion in 3 hours 23 minutes [INSERT: Count=47145, Max=2022399, Min=524800, Avg=1102186.26, 90=1658879, 99=1994751, 99.9=2022399, 99.99=2022399] 
2022-01-11 20:09:51:077 40 sec: 155190 operations; 5690.5 current ops/sec; est completion in 2 hours 51 minutes [INSERT: Count=56906, Max=996863, Min=743424, Avg=873389.67, 90=884735, 99=899071, 99.9=980479, 99.99=996863] 
2022-01-11 20:10:01:078 50 sec: 212715 operations; 5752.5 current ops/sec; est completion in 2 hours 35 minutes [INSERT: Count=57646, Max=930303, Min=801792, Avg=870897.85, 90=880639, 99=894975, 99.9=919551, 99.99=930303] 
2022-01-11 20:10:11:078 60 sec: 270262 operations; 5754.7 current ops/sec; est completion in 2 hours 27 minutes [INSERT: Count=57425, Max=953855, Min=778752, Avg=870889.23, 90=882687, 99=929279, 99.9=949247, 99.99=953855] 
2022-01-11 20:10:21:077 70 sec: 327182 operations; 5692 current ops/sec; est completion in 2 hours 21 minutes [INSERT: Count=56920, Max=942591, Min=796160, Avg=871698.86, 90=885247, 99=923647, 99.9=940031, 99.99=942079] 
2022-01-11 20:10:31:078 80 sec: 385226 operations; 5804.4 current ops/sec; est completion in 2 hours 17 minutes [INSERT: Count=58044, Max=933375, Min=818688, Avg=871159.53, 90=892927, 99=923135, 99.9=926719, 99.99=933375] 
2022-01-11 20:10:41:077 90 sec: 441817 operations; 5659.1 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=56615, Max=935935, Min=800256, Avg=871654.27, 90=888319, 99=910335, 99.9=932863, 99.99=935423] 
2022-01-11 20:10:51:077 100 sec: 500259 operations; 5844.2 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=58418, Max=954367, Min=813568, Avg=871146.75, 90=887807, 99=918527, 99.9=925183, 99.99=954367] 
2022-01-11 20:11:01:077 110 sec: 556843 operations; 5658.4 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=56585, Max=953343, Min=779264, Avg=870527.15, 90=887295, 99=931839, 99.9=948223, 99.99=953343] 
2022-01-11 20:11:11:077 120 sec: 615224 operations; 5838.1 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=58380, Max=954367, Min=797696, Avg=871608.86, 90=888831, 99=909311, 99.9=954367, 99.99=954367] 
2022-01-11 20:11:17:368 126 sec: 651025 operations; 5690.83 current ops/sec; est completion in 2 hours 7 minutes [CLEANUP: Count=5000, Max=42, Min=0, Avg=0.06, 90=0, 99=1, 99.9=27, 99.99=31] [INSERT: Count=35801, Max=936959, Min=826368, Avg=871690.9, 90=891391, 99=932351, 99.9=936447, 99.99=936447] 
