2022-01-11 13:58:51:223 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:59:01:188 10 sec: 19786 operations; 1978.6 current ops/sec; est completion in 5 hours 36 minutes [INSERT: Count=19793, Max=2140159, Min=879104, Avg=1833114, 90=1924095, 99=2082815, 99.9=2140159, 99.99=2140159] 
2022-01-11 13:59:11:187 20 sec: 36248 operations; 1646.2 current ops/sec; est completion in 6 hours 7 minutes [INSERT: Count=16455, Max=2656255, Min=1917952, Avg=2151669.28, 90=2435071, 99=2631679, 99.9=2650111, 99.99=2656255] 
2022-01-11 13:59:21:187 30 sec: 52000 operations; 1575.2 current ops/sec; est completion in 6 hours 24 minutes [INSERT: Count=15752, Max=2908159, Min=2633728, Avg=2775806.83, 90=2803711, 99=2815999, 99.9=2895871, 99.99=2908159] 
2022-01-11 13:59:31:187 40 sec: 65233 operations; 1323.3 current ops/sec; est completion in 6 hours 48 minutes [INSERT: Count=13233, Max=3442687, Min=2766848, Avg=2814775.27, 90=2811903, 99=3330047, 99.9=3424255, 99.99=3442687] 
2022-01-11 13:59:41:188 50 sec: 80000 operations; 1476.7 current ops/sec; est completion in 6 hours 55 minutes [INSERT: Count=14767, Max=2820095, Min=2029568, Avg=2768277.38, 90=2801663, 99=2811903, 99.9=2813951, 99.99=2820095] 
2022-01-11 13:59:51:188 60 sec: 94259 operations; 1425.9 current ops/sec; est completion in 7 hours 3 minutes [INSERT: Count=14259, Max=2830335, Min=2748416, Avg=2793757.61, 90=2805759, 99=2815999, 99.9=2828287, 99.99=2830335] 
2022-01-11 14:00:01:187 70 sec: 108192 operations; 1393.3 current ops/sec; est completion in 7 hours 10 minutes [INSERT: Count=13933, Max=2832383, Min=2754560, Avg=2793471.04, 90=2803711, 99=2811903, 99.9=2818047, 99.99=2832383] 
2022-01-11 14:00:11:188 80 sec: 123258 operations; 1506.6 current ops/sec; est completion in 7 hours 11 minutes [INSERT: Count=15066, Max=2916351, Min=2762752, Avg=2794863.3, 90=2805759, 99=2869247, 99.9=2910207, 99.99=2916351] 
2022-01-11 14:00:19:000 87 sec: 134598 operations; 1451.43 current ops/sec; est completion in 7 hours 13 minutes [CLEANUP: Count=4000, Max=20, Min=0, Avg=0.04, 90=0, 99=0, 99.9=13, 99.99=20] [INSERT: Count=11340, Max=2840575, Min=2525184, Avg=2765006.79, 90=2803711, 99=2820095, 99.9=2840575, 99.99=2840575] 
