2022-01-11 13:58:51:233 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:59:01:198 10 sec: 19063 operations; 1906.3 current ops/sec; est completion in 5 hours 49 minutes [INSERT: Count=19063, Max=2359295, Min=769024, Avg=1852879.53, 90=1927167, 99=2293759, 99.9=2359295, 99.99=2359295] 
2022-01-11 13:59:11:198 20 sec: 36339 operations; 1727.6 current ops/sec; est completion in 6 hours 6 minutes [INSERT: Count=17276, Max=2646015, Min=1752064, Avg=2153450.25, 90=2459647, 99=2635775, 99.9=2646015, 99.99=2646015] 
2022-01-11 13:59:21:197 30 sec: 51239 operations; 1490 current ops/sec; est completion in 6 hours 29 minutes [INSERT: Count=14900, Max=2908159, Min=2633728, Avg=2777869.95, 90=2803711, 99=2818047, 99.9=2899967, 99.99=2908159] 
2022-01-11 13:59:31:198 40 sec: 65051 operations; 1381.2 current ops/sec; est completion in 6 hours 49 minutes [INSERT: Count=13812, Max=3440639, Min=2766848, Avg=2814456.14, 90=2809855, 99=3371007, 99.9=3416063, 99.99=3440639] 
2022-01-11 13:59:41:198 50 sec: 80000 operations; 1494.9 current ops/sec; est completion in 6 hours 55 minutes [INSERT: Count=14949, Max=2820095, Min=2035712, Avg=2767598.17, 90=2803711, 99=2811903, 99.9=2820095, 99.99=2820095] 
2022-01-11 13:59:51:198 60 sec: 93886 operations; 1388.6 current ops/sec; est completion in 7 hours 5 minutes [INSERT: Count=13886, Max=2830335, Min=2748416, Avg=2793379.82, 90=2803711, 99=2811903, 99.9=2828287, 99.99=2830335] 
2022-01-11 14:00:01:197 70 sec: 108273 operations; 1438.7 current ops/sec; est completion in 7 hours 9 minutes [INSERT: Count=14387, Max=2836479, Min=2754560, Avg=2793531.43, 90=2803711, 99=2811903, 99.9=2815999, 99.99=2818047] 
2022-01-11 14:00:11:197 80 sec: 122739 operations; 1446.6 current ops/sec; est completion in 7 hours 13 minutes [INSERT: Count=14466, Max=2916351, Min=2762752, Avg=2794717.56, 90=2805759, 99=2844671, 99.9=2897919, 99.99=2916351] 
2022-01-11 14:00:19:019 87 sec: 134237 operations; 1469.96 current ops/sec; est completion in 7 hours 14 minutes [CLEANUP: Count=4000, Max=42, Min=0, Avg=0.06, 90=0, 99=1, 99.9=18, 99.99=42] [INSERT: Count=11498, Max=2842623, Min=2508800, Avg=2769232.11, 90=2803711, 99=2811903, 99.9=2828287, 99.99=2842623] 
