2022-01-11 13:54:42:932 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:54:52:899 10 sec: 44044 operations; 4404.4 current ops/sec; est completion in 2 hours 31 minutes [INSERT: Count=44044, Max=1591295, Min=625152, Avg=828395.62, 90=906751, 99=1562623, 99.9=1581055, 99.99=1590271] 
2022-01-11 13:55:02:898 20 sec: 94228 operations; 5018.4 current ops/sec; est completion in 2 hours 21 minutes [INSERT: Count=50184, Max=1268735, Min=601088, Avg=808366.47, 90=872959, 99=1187839, 99.9=1264639, 99.99=1268735] 
2022-01-11 13:55:12:898 30 sec: 130468 operations; 3624 current ops/sec; est completion in 2 hours 32 minutes [INSERT: Count=36240, Max=1434623, Min=820224, Avg=1075876.85, 90=1384447, 99=1402879, 99.9=1413119, 99.99=1433599] 
2022-01-11 13:55:22:898 40 sec: 159613 operations; 2914.5 current ops/sec; est completion in 2 hours 46 minutes [INSERT: Count=29145, Max=1420287, Min=1345536, Avg=1397276.99, 90=1404927, 99=1410047, 99.9=1412095, 99.99=1420287] 
2022-01-11 13:55:32:898 50 sec: 188000 operations; 2838.7 current ops/sec; est completion in 2 hours 56 minutes [INSERT: Count=28387, Max=1478655, Min=1315840, Avg=1397518.73, 90=1404927, 99=1437695, 99.9=1462271, 99.99=1476607] 
2022-01-11 13:55:42:898 60 sec: 216114 operations; 2811.4 current ops/sec; est completion in 3 hours 4 minutes [INSERT: Count=28115, Max=1481727, Min=1344512, Avg=1398956.29, 90=1405951, 99=1462271, 99.9=1478655, 99.99=1481727] 
2022-01-11 13:55:52:898 70 sec: 244482 operations; 2836.8 current ops/sec; est completion in 3 hours 9 minutes [INSERT: Count=28371, Max=1437695, Min=1314816, Avg=1396742.37, 90=1403903, 99=1410047, 99.9=1424383, 99.99=1437695] 
2022-01-11 13:56:02:898 80 sec: 272966 operations; 2848.4 current ops/sec; est completion in 3 hours 14 minutes [INSERT: Count=28480, Max=1457151, Min=1343488, Avg=1398037.86, 90=1404927, 99=1418239, 99.9=1452031, 99.99=1456127] 
2022-01-11 13:56:09:585 86 sec: 292592 operations; 2934.95 current ops/sec; est completion in 3 hours 16 minutes [CLEANUP: Count=4000, Max=19, Min=0, Avg=0.05, 90=0, 99=1, 99.9=14, 99.99=19] [INSERT: Count=19626, Max=1413119, Min=1278976, Avg=1396614.9, 90=1403903, 99=1412095, 99.9=1413119, 99.99=1413119] 
