2022-01-11 13:36:49:790 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:36:59:754 10 sec: 47824 operations; 4782.4 current ops/sec; est completion in 2 hours 19 minutes [INSERT: Count=47824, Max=3250175, Min=247296, Avg=771980.62, 90=1483775, 99=2764799, 99.9=3233791, 99.99=3250175] 
2022-01-11 13:37:09:753 20 sec: 104670 operations; 5684.6 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=56900, Max=2170879, Min=415232, Avg=700452.81, 90=1456127, 99=2107391, 99.9=2170879, 99.99=2170879] 
2022-01-11 13:37:19:754 30 sec: 161422 operations; 5675.2 current ops/sec; est completion in 2 hours 3 minutes [INSERT: Count=56713, Max=2144255, Min=413440, Avg=695589.92, 90=1417215, 99=2064383, 99.9=2117631, 99.99=2144255] 
2022-01-11 13:37:29:753 40 sec: 218302 operations; 5688 current ops/sec; est completion in 2 hours 1 minute [INSERT: Count=56866, Max=2080767, Min=436992, Avg=699631.96, 90=1425407, 99=2058239, 99.9=2078719, 99.99=2080767] 
2022-01-11 13:37:39:753 50 sec: 275410 operations; 5710.8 current ops/sec; est completion in 2 hours [INSERT: Count=57110, Max=2095103, Min=423168, Avg=704133.36, 90=1674239, 99=2062335, 99.9=2073599, 99.99=2083839] 
2022-01-11 13:37:49:754 60 sec: 332369 operations; 5695.9 current ops/sec; est completion in 1 hour 59 minutes [INSERT: Count=56956, Max=2115583, Min=374528, Avg=699977.24, 90=1595391, 99=1999871, 99.9=2096127, 99.99=2115583] 
2022-01-11 13:37:59:753 70 sec: 389965 operations; 5759.6 current ops/sec; est completion in 1 hour 58 minutes [INSERT: Count=57635, Max=1994751, Min=411392, Avg=712228.64, 90=1582079, 99=1945599, 99.9=1953791, 99.99=1964031] 
2022-01-11 13:38:09:754 80 sec: 447175 operations; 5721 current ops/sec; est completion in 1 hour 57 minutes [INSERT: Count=57175, Max=1991679, Min=416256, Avg=699621.29, 90=1604607, 99=1930239, 99.9=1977343, 99.99=1988607] 
2022-01-11 13:38:16:837 87 sec: 480868 operations; 4756.21 current ops/sec; est completion in 1 hour 59 minutes [CLEANUP: Count=4000, Max=18, Min=0, Avg=0.03, 90=0, 99=0, 99.9=8, 99.99=18] [INSERT: Count=33689, Max=1893375, Min=387072, Avg=733992.21, 90=1681407, 99=1876991, 99.9=1886207, 99.99=1893375] 
