2022-01-11 13:36:49:788 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:36:59:752 10 sec: 44756 operations; 4475.6 current ops/sec; est completion in 2 hours 28 minutes [INSERT: Count=44756, Max=3592191, Min=249472, Avg=817354.29, 90=1645567, 99=3565567, 99.9=3590143, 99.99=3592191] 
2022-01-11 13:37:09:752 20 sec: 101743 operations; 5698.7 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=56987, Max=2158591, Min=411904, Avg=703664.57, 90=1445887, 99=2119679, 99.9=2134015, 99.99=2158591] 
2022-01-11 13:37:19:752 30 sec: 159514 operations; 5777.1 current ops/sec; est completion in 2 hours 4 minutes [INSERT: Count=57771, Max=2123775, Min=424704, Avg=703441.18, 90=1422335, 99=2065407, 99.9=2079743, 99.99=2123775] 
2022-01-11 13:37:29:752 40 sec: 216281 operations; 5676.7 current ops/sec; est completion in 2 hours 2 minutes [INSERT: Count=56845, Max=2074623, Min=436992, Avg=690602.29, 90=1416191, 99=2047999, 99.9=2065407, 99.99=2074623] 
2022-01-11 13:37:39:752 50 sec: 272523 operations; 5624.2 current ops/sec; est completion in 2 hours 1 minute [INSERT: Count=56173, Max=2123775, Min=423424, Avg=703759.26, 90=1681407, 99=2064383, 99.9=2070527, 99.99=2099199] 
2022-01-11 13:37:49:752 60 sec: 330301 operations; 5777.8 current ops/sec; est completion in 2 hours [INSERT: Count=57769, Max=2059263, Min=374272, Avg=710482.4, 90=1595391, 99=2003967, 99.9=2026495, 99.99=2035711] 
2022-01-11 13:37:59:752 70 sec: 387105 operations; 5680.4 current ops/sec; est completion in 1 hour 59 minutes [INSERT: Count=56804, Max=1958911, Min=414976, Avg=700133.7, 90=1581055, 99=1942527, 99.9=1955839, 99.99=1958911] 
2022-01-11 13:38:09:752 80 sec: 443621 operations; 5651.6 current ops/sec; est completion in 1 hour 58 minutes [INSERT: Count=56528, Max=1993727, Min=416000, Avg=695004.54, 90=1582079, 99=1921023, 99.9=1984511, 99.99=1991679] 
2022-01-11 13:38:16:714 86 sec: 479341 operations; 5130.71 current ops/sec; est completion in 1 hour 59 minutes [CLEANUP: Count=4000, Max=18, Min=0, Avg=0.05, 90=0, 99=1, 99.9=10, 99.99=18] [INSERT: Count=35708, Max=1907711, Min=387072, Avg=745827.87, 90=1691647, 99=1876991, 99.9=1891327, 99.99=1907711] 
