2022-01-10 12:48:36:413 0 sec: 0 operations; est completion in 0 second 
2022-01-10 12:48:46:390 10 sec: 1401 operations; 140.1 current ops/sec; est completion in 3 days 7 hours [INSERT: Count=1401, Max=46559, Min=3540, Avg=6956.61, 90=8263, 99=10887, 99.9=14255, 99.99=46559] 
2022-01-10 12:48:56:390 20 sec: 2911 operations; 151 current ops/sec; est completion in 3 days 4 hours [INSERT: Count=1510, Max=8199, Min=4444, Avg=6597.47, 90=7143, 99=7475, 99.9=7811, 99.99=8199] 
2022-01-10 12:49:06:389 30 sec: 4365 operations; 145.4 current ops/sec; est completion in 3 days 4 hours [INSERT: Count=1454, Max=9647, Min=5360, Avg=6856.74, 90=7319, 99=7715, 99.9=7971, 99.99=9647] 
2022-01-10 12:49:16:390 40 sec: 5829 operations; 146.4 current ops/sec; est completion in 3 days 4 hours [INSERT: Count=1465, Max=8223, Min=5060, Avg=6804.01, 90=7255, 99=7639, 99.9=8147, 99.99=8223] 
2022-01-10 12:49:26:390 50 sec: 7455 operations; 162.6 current ops/sec; est completion in 3 days 2 hours [INSERT: Count=1625, Max=8087, Min=4012, Avg=6137.39, 90=6711, 99=7151, 99.9=7815, 99.99=8087] 
2022-01-10 12:49:36:390 60 sec: 8979 operations; 152.4 current ops/sec; est completion in 3 days 2 hours [INSERT: Count=1524, Max=7795, Min=5036, Avg=6552.59, 90=7079, 99=7399, 99.9=7735, 99.99=7795] 
2022-01-10 12:49:46:389 70 sec: 10508 operations; 152.9 current ops/sec; est completion in 3 days 1 hour [INSERT: Count=1529, Max=8075, Min=5004, Avg=6529.9, 90=7051, 99=7503, 99.9=7811, 99.99=8075] 
2022-01-10 12:49:56:390 80 sec: 12049 operations; 154.1 current ops/sec; est completion in 3 days 1 hour [INSERT: Count=1541, Max=8155, Min=4584, Avg=6474.09, 90=6963, 99=7323, 99.9=7783, 99.99=8155] 
2022-01-10 12:50:01:396 85 sec: 12846 operations; 159.21 current ops/sec; est completion in 3 days 1 hour [CLEANUP: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [INSERT: Count=797, Max=8727, Min=4792, Avg=6270.65, 90=6863, 99=7267, 99.9=8367, 99.99=8727] 
