2022-01-11 12:38:04:510 0 sec: 0 operations; est completion in 0 second 
2022-01-11 12:38:14:475 10 sec: 50334 operations; 5032.9 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=50365, Max=4567039, Min=159232, Avg=550873.34, 90=817663, 99=4259839, 99.9=4562943, 99.99=4567039] 
2022-01-11 12:38:24:475 20 sec: 122251 operations; 7191.7 current ops/sec; est completion in 1 hour 48 minutes [INSERT: Count=71886, Max=5111807, Min=123776, Avg=421502.17, 90=697343, 99=3803135, 99.9=5087231, 99.99=5103615] 
2022-01-11 12:38:34:474 30 sec: 170435 operations; 4818.88 current ops/sec; est completion in 1 hour 56 minutes [INSERT: Count=48184, Max=3561471, Min=123712, Avg=627684.32, 90=1508351, 99=2709503, 99.9=3536895, 99.99=3553279] 
2022-01-11 12:38:44:475 40 sec: 253125 operations; 8268.17 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=82690, Max=923647, Min=144128, Avg=364475.27, 90=586239, 99=854015, 99.9=905215, 99.99=919551] 
2022-01-11 12:38:54:474 50 sec: 338706 operations; 8558.96 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=85583, Max=820735, Min=133632, Avg=350092.38, 90=582143, 99=790015, 99.9=817151, 99.99=820223] 
2022-01-11 12:39:04:474 60 sec: 420019 operations; 8130.49 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=81312, Max=777727, Min=126016, Avg=368575.89, 90=617983, 99=700415, 99.9=754175, 99.99=776191] 
2022-01-11 12:39:14:474 70 sec: 504250 operations; 8423.1 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=84281, Max=941567, Min=129408, Avg=357062.28, 90=553471, 99=850943, 99.9=924671, 99.99=941567] 
2022-01-11 12:39:24:474 80 sec: 586649 operations; 8240.72 current ops/sec; est completion in 1 hour 29 minutes [INSERT: Count=82348, Max=784383, Min=126720, Avg=363072.35, 90=570367, 99=736255, 99.9=775679, 99.99=780287] 
2022-01-11 12:39:30:340 85 sec: 630939 operations; 7550.29 current ops/sec; est completion in 1 hour 29 minutes [CLEANUP: Count=3000, Max=20, Min=0, Avg=0.03, 90=0, 99=0, 99.9=12, 99.99=20] [INSERT: Count=44290, Max=816127, Min=127232, Avg=381136.91, 90=620031, 99=707583, 99.9=798719, 99.99=810495] 
