2022-01-11 12:38:04:527 0 sec: 0 operations; est completion in 0 second 
2022-01-11 12:38:14:490 10 sec: 49757 operations; 4975.7 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=49768, Max=4567039, Min=159360, Avg=547205.63, 90=685055, 99=4284415, 99.9=4550655, 99.99=4567039] 
2022-01-11 12:38:24:491 20 sec: 121605 operations; 7184.8 current ops/sec; est completion in 1 hour 49 minutes [INSERT: Count=71837, Max=5115903, Min=123328, Avg=429046.04, 90=697855, 99=4044799, 99.9=5099519, 99.99=5111807] 
2022-01-11 12:38:34:490 30 sec: 169655 operations; 4805 current ops/sec; est completion in 1 hour 57 minutes [INSERT: Count=48050, Max=3561471, Min=127104, Avg=628248.28, 90=1608703, 99=2709503, 99.9=3536895, 99.99=3551231] 
2022-01-11 12:38:44:490 40 sec: 252646 operations; 8299.1 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=82998, Max=923135, Min=146688, Avg=363986.61, 90=578559, 99=850943, 99.9=901631, 99.99=913407] 
2022-01-11 12:38:54:491 50 sec: 338161 operations; 8551.5 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=85509, Max=822783, Min=133632, Avg=349959.78, 90=575999, 99=793599, 99.9=816639, 99.99=818175] 
2022-01-11 12:39:04:491 60 sec: 419486 operations; 8132.5 current ops/sec; est completion in 1 hour 34 minutes [INSERT: Count=81324, Max=780799, Min=125952, Avg=368769.46, 90=619007, 99=704511, 99.9=756735, 99.99=776703] 
2022-01-11 12:39:14:490 70 sec: 503712 operations; 8422.6 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=84226, Max=941567, Min=127552, Avg=357089.82, 90=553471, 99=837631, 99.9=910335, 99.99=938495] 
2022-01-11 12:39:24:490 80 sec: 586204 operations; 8249.2 current ops/sec; est completion in 1 hour 29 minutes [INSERT: Count=82497, Max=784383, Min=126720, Avg=363196.62, 90=574975, 99=736767, 99.9=774655, 99.99=783871] 
2022-01-11 12:39:30:483 85 sec: 630448 operations; 7385.08 current ops/sec; est completion in 1 hour 29 minutes [CLEANUP: Count=3000, Max=23, Min=0, Avg=0.05, 90=0, 99=1, 99.9=13, 99.99=23] [INSERT: Count=44239, Max=816127, Min=127744, Avg=380769.95, 90=612863, 99=728063, 99.9=800767, 99.99=810495] 
