2022-01-10 14:25:05:143 0 sec: 0 operations; est completion in 0 second 
2022-01-10 14:25:15:119 10 sec: 10 operations; 1 current ops/sec; est completion in 463 days [INSERT: Count=10, Max=50143, Min=6216, Avg=11285, 90=7479, 99=50143, 99.9=50143, 99.99=50143] 
2022-01-10 14:25:25:120 20 sec: 20 operations; 1 current ops/sec; est completion in 462 days 23 hours [INSERT: Count=10, Max=7447, Min=5924, Avg=6710.4, 90=7151, 99=7447, 99.9=7447, 99.99=7447] 
2022-01-10 14:25:35:119 30 sec: 30 operations; 1 current ops/sec; est completion in 462 days 23 hours [INSERT: Count=10, Max=6639, Min=5808, Avg=6386.4, 90=6599, 99=6639, 99.9=6639, 99.99=6639] 
2022-01-10 14:25:45:119 40 sec: 40 operations; 1 current ops/sec; est completion in 462 days 23 hours [INSERT: Count=10, Max=6847, Min=5952, Avg=6492.4, 90=6831, 99=6847, 99.9=6847, 99.99=6847] 
2022-01-10 14:25:55:119 50 sec: 50 operations; 1 current ops/sec; est completion in 462 days 23 hours [INSERT: Count=10, Max=6579, Min=5116, Avg=6014, 90=6463, 99=6579, 99.9=6579, 99.99=6579] 
2022-01-10 14:26:05:119 60 sec: 60 operations; 1 current ops/sec; est completion in 462 days 23 hours [INSERT: Count=10, Max=6335, Min=5924, Avg=6070, 90=6327, 99=6335, 99.9=6335, 99.99=6335] 
2022-01-10 14:26:15:119 70 sec: 70 operations; 1 current ops/sec; est completion in 462 days 23 hours [INSERT: Count=10, Max=6639, Min=4688, Avg=5884, 90=6583, 99=6639, 99.9=6639, 99.99=6639] 
2022-01-10 14:26:25:119 80 sec: 80 operations; 1 current ops/sec; est completion in 462 days 23 hours [INSERT: Count=10, Max=5959, Min=4760, Avg=5493.6, 90=5935, 99=5959, 99.9=5959, 99.99=5959] 
2022-01-10 14:26:30:745 85 sec: 85 operations; 0.89 current ops/sec; est completion in 466 days 8 hours [CLEANUP: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [INSERT: Count=5, Max=5507, Min=4624, Avg=5028.4, 90=5507, 99=5507, 99.9=5507, 99.99=5507] 
