2022-01-11 20:07:35:375 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:07:45:334 10 sec: 146 operations; 14.6 current ops/sec; est completion in 31 days 17 hours [INSERT: Count=146, Max=7225343, Min=4304896, Avg=5909826.63, 90=6868991, 99=7225343, 99.9=7225343, 99.99=7225343] 
2022-01-11 20:07:55:334 20 sec: 730 operations; 58.4 current ops/sec; est completion in 12 days 16 hours [INSERT: Count=587, Max=19660799, Min=13565952, Avg=17565448.29, 90=19415039, 99=19644415, 99.9=19660799, 99.99=19660799] 
2022-01-11 20:08:05:334 30 sec: 7446 operations; 671.6 current ops/sec; est completion in 1 day 20 hours [INSERT: Count=6713, Max=26132479, Min=5660672, Avg=18339492.82, 90=25935871, 99=26116095, 99.9=26132479, 99.99=26132479] 
2022-01-11 20:08:15:334 40 sec: 30166 operations; 2272 current ops/sec; est completion in 14 hours 43 minutes [INSERT: Count=22728, Max=5709823, Min=1532928, Avg=2679422.06, 90=4624383, 99=5562367, 99.9=5693439, 99.99=5709823] 
2022-01-11 20:08:25:334 50 sec: 65729 operations; 3556.3 current ops/sec; est completion in 8 hours 26 minutes [INSERT: Count=35555, Max=2146303, Min=1031168, Avg=1372512.05, 90=1931263, 99=2055167, 99.9=2146303, 99.99=2146303] 
2022-01-11 20:08:35:334 60 sec: 100826 operations; 3509.7 current ops/sec; est completion in 6 hours 35 minutes [INSERT: Count=35097, Max=2021375, Min=1041920, Avg=1435406.09, 90=1634303, 99=2020351, 99.9=2021375, 99.99=2021375] 
2022-01-11 20:08:45:334 70 sec: 135708 operations; 3488.2 current ops/sec; est completion in 5 hours 42 minutes [INSERT: Count=34882, Max=1722367, Min=1268736, Avg=1441845.6, 90=1614847, 99=1676287, 99.9=1696767, 99.99=1722367] 
2022-01-11 20:08:55:334 80 sec: 170708 operations; 3500 current ops/sec; est completion in 5 hours 11 minutes [INSERT: Count=35000, Max=1606655, Min=1320960, Avg=1433256.2, 90=1515519, 99=1587199, 99.9=1601535, 99.99=1606655] 
2022-01-11 20:09:05:334 90 sec: 208265 operations; 3755.7 current ops/sec; est completion in 4 hours 46 minutes [INSERT: Count=37557, Max=1448959, Min=1229824, Avg=1324994.42, 90=1391615, 99=1426431, 99.9=1448959, 99.99=1448959] 
2022-01-11 20:09:15:334 100 sec: 247593 operations; 3932.8 current ops/sec; est completion in 4 hours 27 minutes [INSERT: Count=39328, Max=1370111, Min=1174528, Avg=1272525.72, 90=1299455, 99=1314815, 99.9=1339391, 99.99=1364991] 
2022-01-11 20:09:25:334 110 sec: 281317 operations; 3372.4 current ops/sec; est completion in 4 hours 18 minutes [INSERT: Count=33724, Max=1852415, Min=1186816, Avg=1469274.88, 90=1683455, 99=1794047, 99.9=1852415, 99.99=1852415] 
2022-01-11 20:09:35:334 120 sec: 319203 operations; 3788.6 current ops/sec; est completion in 4 hours 8 minutes [INSERT: Count=37886, Max=1476607, Min=1205248, Avg=1335786.76, 90=1404927, 99=1456127, 99.9=1465343, 99.99=1468415] 
2022-01-11 20:09:42:025 126 sec: 345914 operations; 3991.48 current ops/sec; est completion in 4 hours 2 minutes [CLEANUP: Count=5000, Max=68, Min=0, Avg=0.07, 90=0, 99=0, 99.9=25, 99.99=38] [INSERT: Count=26711, Max=1333247, Min=1187840, Avg=1268013.15, 90=1294335, 99=1324031, 99.9=1333247, 99.99=1333247] 
