2022-01-11 20:07:35:357 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:07:45:315 10 sec: 209 operations; 20.9 current ops/sec; est completion in 22 days 3 hours [INSERT: Count=209, Max=9510911, Min=1359872, Avg=4551792.69, 90=4919295, 99=9510911, 99.9=9510911, 99.99=9510911] 
2022-01-11 20:07:55:316 20 sec: 1632 operations; 142.3 current ops/sec; est completion in 5 days 16 hours [INSERT: Count=1423, Max=19660799, Min=9707520, Avg=16272593.41, 90=19202047, 99=19595263, 99.9=19660799, 99.99=19660799] 
2022-01-11 20:08:05:316 30 sec: 8339 operations; 670.7 current ops/sec; est completion in 1 day 15 hours [INSERT: Count=6707, Max=25804799, Min=5746688, Avg=16640827.2, 90=25395199, 99=25755647, 99.9=25804799, 99.99=25804799] 
2022-01-11 20:08:15:315 40 sec: 30416 operations; 2207.7 current ops/sec; est completion in 14 hours 36 minutes [INSERT: Count=22077, Max=5468159, Min=1522688, Avg=2664726.39, 90=4202495, 99=5308415, 99.9=5431295, 99.99=5468159] 
2022-01-11 20:08:25:315 50 sec: 66561 operations; 3614.5 current ops/sec; est completion in 8 hours 19 minutes [INSERT: Count=36145, Max=2142207, Min=1031168, Avg=1374638.81, 90=1930239, 99=2055167, 99.9=2140159, 99.99=2142207] 
2022-01-11 20:08:35:315 60 sec: 101758 operations; 3519.7 current ops/sec; est completion in 6 hours 32 minutes [INSERT: Count=35197, Max=2022399, Min=1041920, Avg=1434792.01, 90=1623039, 99=1993727, 99.9=2022399, 99.99=2022399] 
2022-01-11 20:08:45:315 70 sec: 136413 operations; 3465.5 current ops/sec; est completion in 5 hours 40 minutes [INSERT: Count=34655, Max=1717247, Min=1268736, Avg=1442442.43, 90=1595391, 99=1687551, 99.9=1711103, 99.99=1717247] 
2022-01-11 20:08:55:316 80 sec: 171254 operations; 3484.1 current ops/sec; est completion in 5 hours 10 minutes [INSERT: Count=34842, Max=1607679, Min=1320960, Avg=1432261.03, 90=1510399, 99=1593343, 99.9=1606655, 99.99=1607679] 
2022-01-11 20:09:05:316 90 sec: 208858 operations; 3760.4 current ops/sec; est completion in 4 hours 45 minutes [INSERT: Count=37603, Max=1446911, Min=1229824, Avg=1326038.68, 90=1391615, 99=1424383, 99.9=1433599, 99.99=1446911] 
2022-01-11 20:09:15:315 100 sec: 248197 operations; 3933.9 current ops/sec; est completion in 4 hours 26 minutes [INSERT: Count=39339, Max=1339391, Min=1190912, Avg=1272285.93, 90=1297407, 99=1314815, 99.9=1323007, 99.99=1333247] 
2022-01-11 20:09:25:315 110 sec: 282424 operations; 3422.7 current ops/sec; est completion in 4 hours 17 minutes [INSERT: Count=34235, Max=1849343, Min=1186816, Avg=1468394.63, 90=1680383, 99=1782783, 99.9=1824767, 99.99=1849343] 
2022-01-11 20:09:35:315 120 sec: 320269 operations; 3784.5 current ops/sec; est completion in 4 hours 7 minutes [INSERT: Count=37837, Max=1476607, Min=1210368, Avg=1334435.18, 90=1403903, 99=1456127, 99.9=1465343, 99.99=1469439] 
2022-01-11 20:09:42:024 126 sec: 346828 operations; 3958.12 current ops/sec; est completion in 4 hours 1 minute [CLEANUP: Count=5000, Max=46, Min=0, Avg=0.07, 90=0, 99=0, 99.9=27, 99.99=41] [INSERT: Count=26559, Max=1335295, Min=1184768, Avg=1267536.4, 90=1293311, 99=1319935, 99.9=1335295, 99.99=1335295] 
