2022-01-11 20:07:35:385 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:07:45:344 10 sec: 116 operations; 11.6 current ops/sec; est completion in 39 days 21 hours [INSERT: Count=116, Max=6254591, Min=4210688, Avg=5350717.79, 90=6062079, 99=6250495, 99.9=6254591, 99.99=6254591] 
2022-01-11 20:07:55:344 20 sec: 900 operations; 78.4 current ops/sec; est completion in 10 days 6 hours [INSERT: Count=784, Max=19660799, Min=11993088, Avg=17257853.39, 90=19333119, 99=19611647, 99.9=19660799, 99.99=19660799] 
2022-01-11 20:08:05:344 30 sec: 7659 operations; 675.9 current ops/sec; est completion in 1 day 19 hours [INSERT: Count=6759, Max=26132479, Min=5660672, Avg=17839073.25, 90=25853951, 99=26099711, 99.9=26132479, 99.99=26132479] 
2022-01-11 20:08:15:344 40 sec: 30233 operations; 2257.4 current ops/sec; est completion in 14 hours 41 minutes [INSERT: Count=22574, Max=5709823, Min=1509376, Avg=2670558.86, 90=4595711, 99=5505023, 99.9=5656575, 99.99=5697535] 
2022-01-11 20:08:25:344 50 sec: 65831 operations; 3559.8 current ops/sec; est completion in 8 hours 25 minutes [INSERT: Count=35598, Max=2146303, Min=1031168, Avg=1375755.13, 90=1932287, 99=2055167, 99.9=2146303, 99.99=2146303] 
2022-01-11 20:08:35:344 60 sec: 101024 operations; 3519.3 current ops/sec; est completion in 6 hours 34 minutes [INSERT: Count=35193, Max=2023423, Min=1042432, Avg=1434077.36, 90=1623039, 99=2018303, 99.9=2021375, 99.99=2022399] 
2022-01-11 20:08:45:344 70 sec: 135828 operations; 3480.4 current ops/sec; est completion in 5 hours 42 minutes [INSERT: Count=34816, Max=1716223, Min=1270784, Avg=1442619.03, 90=1604607, 99=1689599, 99.9=1711103, 99.99=1711103] 
2022-01-11 20:08:55:344 80 sec: 170795 operations; 3496.7 current ops/sec; est completion in 5 hours 10 minutes [INSERT: Count=34955, Max=1606655, Min=1320960, Avg=1433383.15, 90=1513471, 99=1580031, 99.9=1599487, 99.99=1602559] 
2022-01-11 20:09:05:344 90 sec: 208716 operations; 3792.1 current ops/sec; est completion in 4 hours 45 minutes [INSERT: Count=37927, Max=1448959, Min=1229824, Avg=1325116.68, 90=1392639, 99=1429503, 99.9=1439743, 99.99=1448959] 
2022-01-11 20:09:15:344 100 sec: 247673 operations; 3895.7 current ops/sec; est completion in 4 hours 27 minutes [INSERT: Count=38952, Max=1371135, Min=1174528, Avg=1272438.88, 90=1297407, 99=1319935, 99.9=1371135, 99.99=1371135] 
2022-01-11 20:09:25:344 110 sec: 281732 operations; 3405.9 current ops/sec; est completion in 4 hours 18 minutes [INSERT: Count=34058, Max=1852415, Min=1209344, Avg=1468896.52, 90=1682431, 99=1773567, 99.9=1804287, 99.99=1852415] 
2022-01-11 20:09:35:344 120 sec: 319679 operations; 3794.7 current ops/sec; est completion in 4 hours 8 minutes [INSERT: Count=37947, Max=1478655, Min=1210368, Avg=1335294.02, 90=1407999, 99=1458175, 99.9=1472511, 99.99=1478655] 
2022-01-11 20:09:42:026 126 sec: 345882 operations; 3921.43 current ops/sec; est completion in 4 hours 2 minutes [CLEANUP: Count=5000, Max=32, Min=0, Avg=0.05, 90=0, 99=0, 99.9=22, 99.99=32] [INSERT: Count=26203, Max=1332223, Min=1185792, Avg=1266550.15, 90=1292287, 99=1312767, 99.9=1328127, 99.99=1332223] 
