2022-01-11 20:09:24:152 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:09:34:112 10 sec: 8407 operations; 840.7 current ops/sec; est completion in 13 hours 12 minutes [INSERT: Count=8407, Max=6082559, Min=1070080, Avg=4367413.23, 90=5468159, 99=5959679, 99.9=5996543, 99.99=6008831] 
2022-01-11 20:09:44:112 20 sec: 20000 operations; 1159.3 current ops/sec; est completion in 11 hours 6 minutes [INSERT: Count=11593, Max=5275647, Min=3641344, Avg=4548980.66, 90=5193727, 99=5255167, 99.9=5267455, 99.99=5275647] 
2022-01-11 20:09:54:112 30 sec: 44478 operations; 2447.8 current ops/sec; est completion in 7 hours 29 minutes [INSERT: Count=24478, Max=3483647, Min=1464320, Avg=2265890.78, 90=3217407, 99=3446783, 99.9=3479551, 99.99=3479551] 
2022-01-11 20:10:04:112 40 sec: 94658 operations; 5018 current ops/sec; est completion in 4 hours 41 minutes [INSERT: Count=50180, Max=1513471, Min=837632, Avg=1023331.84, 90=1326079, 99=1446911, 99.9=1491967, 99.99=1513471] 
2022-01-11 20:10:14:112 50 sec: 151786 operations; 5712.8 current ops/sec; est completion in 3 hours 38 minutes [INSERT: Count=57128, Max=932351, Min=832512, Avg=872983.62, 90=910335, 99=921599, 99.9=931839, 99.99=932351] 
2022-01-11 20:10:24:114 60 sec: 208911 operations; 5712.5 current ops/sec; est completion in 3 hours 10 minutes [INSERT: Count=57148, Max=937471, Min=827392, Avg=876281.76, 90=911359, 99=934399, 99.9=936959, 99.99=937471] 
2022-01-11 20:10:34:112 70 sec: 265843 operations; 5693.2 current ops/sec; est completion in 2 hours 54 minutes [INSERT: Count=56909, Max=927743, Min=825344, Avg=873023.86, 90=913407, 99=923135, 99.9=927743, 99.99=927743] 
2022-01-11 20:10:44:112 80 sec: 322269 operations; 5642.6 current ops/sec; est completion in 2 hours 44 minutes [INSERT: Count=56482, Max=948735, Min=810496, Avg=883930.43, 90=911871, 99=936447, 99.9=947199, 99.99=947711] 
2022-01-11 20:10:54:112 90 sec: 379810 operations; 5754.1 current ops/sec; est completion in 2 hours 36 minutes [INSERT: Count=57485, Max=919551, Min=834048, Avg=878725.53, 90=894975, 99=909823, 99.9=918015, 99.99=919551] 
2022-01-11 20:11:04:112 100 sec: 435895 operations; 5608.5 current ops/sec; est completion in 2 hours 31 minutes [INSERT: Count=56089, Max=964607, Min=834560, Avg=883850.08, 90=917503, 99=941567, 99.9=964607, 99.99=964607] 
2022-01-11 20:11:14:112 110 sec: 492979 operations; 5708.4 current ops/sec; est completion in 2 hours 26 minutes [INSERT: Count=57088, Max=947199, Min=834048, Avg=877746.17, 90=891391, 99=917503, 99.9=938495, 99.99=947199] 
2022-01-11 20:11:24:112 120 sec: 550229 operations; 5725 current ops/sec; est completion in 2 hours 23 minutes [INSERT: Count=57242, Max=964607, Min=829952, Avg=880196.09, 90=900095, 99=926207, 99.9=964607, 99.99=964607] 
2022-01-11 20:11:30:403 126 sec: 585896 operations; 5668.63 current ops/sec; est completion in 2 hours 21 minutes [CLEANUP: Count=5000, Max=22, Min=0, Avg=0.05, 90=0, 99=1, 99.9=11, 99.99=18] [INSERT: Count=35667, Max=935935, Min=826880, Avg=874025.36, 90=884735, 99=893951, 99.9=918015, 99.99=935423] 
