2022-01-11 12:31:48:603 0 sec: 0 operations; est completion in 0 second 
2022-01-11 12:31:58:567 10 sec: 42447 operations; 4244.7 current ops/sec; est completion in 2 hours 36 minutes [INSERT: Count=42462, Max=2572287, Min=88320, Avg=225242.47, 90=387327, 99=2109439, 99.9=2564095, 99.99=2570239] 
2022-01-11 12:32:08:567 20 sec: 99293 operations; 5684.6 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=56831, Max=330495, Min=89088, Avg=176737.81, 90=247551, 99=303103, 99.9=318719, 99.99=330495] 
2022-01-11 12:32:18:566 30 sec: 156335 operations; 5704.2 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=57042, Max=319487, Min=89216, Avg=176161.69, 90=247679, 99=278527, 99.9=304895, 99.99=317439] 
2022-01-11 12:32:28:567 40 sec: 212677 operations; 5634.2 current ops/sec; est completion in 2 hours 4 minutes [INSERT: Count=56342, Max=321791, Min=90048, Avg=176346.23, 90=248831, 99=284671, 99.9=318207, 99.99=321791] 
2022-01-11 12:32:38:567 50 sec: 269542 operations; 5686.5 current ops/sec; est completion in 2 hours 2 minutes [INSERT: Count=56865, Max=312831, Min=89088, Avg=176239.66, 90=248575, 99=278015, 99.9=305919, 99.99=311295] 
2022-01-11 12:32:48:567 60 sec: 326657 operations; 5711.5 current ops/sec; est completion in 2 hours 1 minute [INSERT: Count=57130, Max=270335, Min=96960, Avg=174830.94, 90=248959, 99=254591, 99.9=263935, 99.99=269823] 
2022-01-11 12:32:58:566 70 sec: 383835 operations; 5717.8 current ops/sec; est completion in 2 hours [INSERT: Count=57165, Max=272383, Min=95616, Avg=174906.69, 90=249215, 99=257023, 99.9=267519, 99.99=270847] 
2022-01-11 12:33:08:567 80 sec: 440271 operations; 5643.6 current ops/sec; est completion in 1 hour 59 minutes [INSERT: Count=56435, Max=337151, Min=90624, Avg=177497.29, 90=250751, 99=291583, 99.9=329471, 99.99=337151] 
2022-01-11 12:33:13:963 85 sec: 470144 operations; 5535.11 current ops/sec; est completion in 1 hour 59 minutes [CLEANUP: Count=1000, Max=13, Min=0, Avg=0.05, 90=0, 99=1, 99.9=10, 99.99=13] [INSERT: Count=29872, Max=334079, Min=89600, Avg=175217.73, 90=247167, 99=252159, 99.9=262911, 99.99=264191] 
