2022-01-11 10:49:29:757 0 sec: 0 operations; est completion in 0 second 
2022-01-11 10:49:39:718 10 sec: 15273 operations; 1527.15 current ops/sec; est completion in 7 hours 16 minutes [INSERT: Count=15273, Max=2043903, Min=91584, Avg=251974.43, 90=305151, 99=1654783, 99.9=2038783, 99.99=2038783] 
2022-01-11 10:49:49:718 20 sec: 31544 operations; 1627.26 current ops/sec; est completion in 7 hours 2 minutes [INSERT: Count=16271, Max=733183, Min=90752, Avg=244806.64, 90=639487, 99=692223, 99.9=723455, 99.99=733183] 
2022-01-11 10:49:59:718 30 sec: 49472 operations; 1792.8 current ops/sec; est completion in 6 hours 43 minutes [INSERT: Count=17928, Max=483071, Min=94336, Avg=221195.99, 90=390655, 99=459775, 99.9=475647, 99.99=482303] 
2022-01-11 10:50:09:718 40 sec: 69396 operations; 1992.4 current ops/sec; est completion in 6 hours 23 minutes [INSERT: Count=19926, Max=506623, Min=92032, Avg=203017.81, 90=465407, 99=490751, 99.9=498687, 99.99=505343] 
2022-01-11 10:50:19:718 50 sec: 91529 operations; 2213.3 current ops/sec; est completion in 6 hours 3 minutes [INSERT: Count=22137, Max=359423, Min=88512, Avg=180529.08, 90=304383, 99=339967, 99.9=351487, 99.99=359423] 
2022-01-11 10:50:29:718 60 sec: 110111 operations; 1858.01 current ops/sec; est completion in 6 hours 2 minutes [INSERT: Count=18576, Max=508415, Min=90112, Avg=213658.42, 90=425471, 99=482303, 99.9=502527, 99.99=508415] 
2022-01-11 10:50:39:718 70 sec: 127588 operations; 1747.7 current ops/sec; est completion in 6 hours 4 minutes [INSERT: Count=17478, Max=744959, Min=89920, Avg=226940.99, 90=695807, 99=721919, 99.9=732159, 99.99=732671] 
2022-01-11 10:50:49:718 80 sec: 144970 operations; 1738.2 current ops/sec; est completion in 6 hours 6 minutes [INSERT: Count=17381, Max=786943, Min=89408, Avg=232735.5, 90=717311, 99=743935, 99.9=771583, 99.99=786943] 
2022-01-11 10:50:55:038 85 sec: 155245 operations; 1931.39 current ops/sec; est completion in 6 hours 4 minutes [CLEANUP: Count=400, Max=8, Min=0, Avg=0.08, 90=0, 99=3, 99.9=8, 99.99=8] [INSERT: Count=10275, Max=451071, Min=91072, Avg=206474.76, 90=406271, 99=439295, 99.9=444415, 99.99=450047] 
