2022-01-11 13:25:33:017 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:25:42:982 10 sec: 42031 operations; 4203.1 current ops/sec; est completion in 2 hours 38 minutes [INSERT: Count=42051, Max=2775039, Min=462336, Avg=679863.39, 90=570367, 99=2772991, 99.9=2772991, 99.99=2772991] 
2022-01-11 13:25:52:981 20 sec: 98091 operations; 5606 current ops/sec; est completion in 2 hours 15 minutes [INSERT: Count=56040, Max=596991, Min=448256, Avg=530339.84, 90=568319, 99=589823, 99.9=596991, 99.99=596991] 
2022-01-11 13:26:02:981 30 sec: 155198 operations; 5710.7 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=57107, Max=571903, Min=455424, Avg=523519.05, 90=558591, 99=565759, 99.9=571391, 99.99=571391] 
2022-01-11 13:26:12:981 40 sec: 212333 operations; 5713.5 current ops/sec; est completion in 2 hours 4 minutes [INSERT: Count=57135, Max=589311, Min=444672, Avg=526542.96, 90=562175, 99=574975, 99.9=577023, 99.99=583167] 
2022-01-11 13:26:22:981 50 sec: 269075 operations; 5674.2 current ops/sec; est completion in 2 hours 3 minutes [INSERT: Count=56761, Max=630783, Min=406272, Avg=529658.94, 90=569855, 99=628735, 99.9=630783, 99.99=630783] 
2022-01-11 13:26:32:981 60 sec: 326478 operations; 5740.3 current ops/sec; est completion in 2 hours 1 minute [INSERT: Count=57384, Max=584191, Min=450304, Avg=523863.89, 90=560639, 99=573439, 99.9=584191, 99.99=584191] 
2022-01-11 13:26:42:981 70 sec: 383979 operations; 5750.1 current ops/sec; est completion in 2 hours [INSERT: Count=57501, Max=571391, Min=453120, Avg=523146.36, 90=558079, 99=563711, 99.9=570879, 99.99=571391] 
2022-01-11 13:26:52:981 80 sec: 441153 operations; 5717.4 current ops/sec; est completion in 1 hour 59 minutes [INSERT: Count=57174, Max=578047, Min=448768, Avg=523002.67, 90=559103, 99=566271, 99.9=578047, 99.99=578047] 
2022-01-11 13:26:58:644 85 sec: 473597 operations; 5729.12 current ops/sec; est completion in 1 hour 59 minutes [CLEANUP: Count=3000, Max=457, Min=0, Avg=0.43, 90=0, 99=1, 99.9=47, 99.99=457] [INSERT: Count=32444, Max=594943, Min=447232, Avg=527476.65, 90=567295, 99=586751, 99.9=594431, 99.99=594431] 
