2022-01-11 13:25:33:002 0 sec: 0 operations; est completion in 0 second 
2022-01-11 13:25:42:967 10 sec: 42761 operations; 4275.67 current ops/sec; est completion in 2 hours 35 minutes [INSERT: Count=42761, Max=2629631, Min=462592, Avg=661737.92, 90=604159, 99=2600959, 99.9=2629631, 99.99=2629631] 
2022-01-11 13:25:52:967 20 sec: 99753 operations; 5699.2 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=56992, Max=597503, Min=448256, Avg=527672.32, 90=565759, 99=583167, 99.9=597503, 99.99=597503] 
2022-01-11 13:26:02:967 30 sec: 156991 operations; 5723.8 current ops/sec; est completion in 2 hours 6 minutes [INSERT: Count=57238, Max=616447, Min=455680, Avg=525836.23, 90=561151, 99=579071, 99.9=615935, 99.99=616447] 
2022-01-11 13:26:12:966 40 sec: 214259 operations; 5726.8 current ops/sec; est completion in 2 hours 3 minutes [INSERT: Count=57268, Max=637439, Min=444928, Avg=525167.67, 90=562175, 99=572927, 99.9=631807, 99.99=635391] 
2022-01-11 13:26:22:967 50 sec: 270794 operations; 5653.5 current ops/sec; est completion in 2 hours 2 minutes [INSERT: Count=56535, Max=629759, Min=406016, Avg=527857.37, 90=569855, 99=581631, 99.9=628223, 99.99=629759] 
2022-01-11 13:26:32:966 60 sec: 328233 operations; 5743.9 current ops/sec; est completion in 2 hours [INSERT: Count=57442, Max=584703, Min=450816, Avg=524247.19, 90=561151, 99=570367, 99.9=573951, 99.99=584703] 
2022-01-11 13:26:42:967 70 sec: 385813 operations; 5758 current ops/sec; est completion in 1 hour 59 minutes [INSERT: Count=57577, Max=571391, Min=453632, Avg=522368.03, 90=558079, 99=568831, 99.9=571391, 99.99=571391] 
2022-01-11 13:26:52:967 80 sec: 442728 operations; 5691.5 current ops/sec; est completion in 1 hour 59 minutes [INSERT: Count=56915, Max=585215, Min=450048, Avg=523445.71, 90=559103, 99=570367, 99.9=584191, 99.99=585215] 
2022-01-11 13:26:58:644 85 sec: 475118 operations; 5705.48 current ops/sec; est completion in 1 hour 58 minutes [CLEANUP: Count=3000, Max=61, Min=0, Avg=0.18, 90=0, 99=3, 99.9=35, 99.99=61] [INSERT: Count=32390, Max=593919, Min=446976, Avg=527395.19, 90=568319, 99=586239, 99.9=593919, 99.99=593919] 
