2022-01-11 10:49:29:772 0 sec: 0 operations; est completion in 0 second 
2022-01-11 10:49:39:733 10 sec: 15065 operations; 1506.5 current ops/sec; est completion in 7 hours 22 minutes [INSERT: Count=15068, Max=2109439, Min=90880, Avg=253704.92, 90=305407, 99=1679359, 99.9=2103295, 99.99=2109439] 
2022-01-11 10:49:49:733 20 sec: 31381 operations; 1631.6 current ops/sec; est completion in 7 hours 4 minutes [INSERT: Count=16314, Max=720895, Min=90176, Avg=245656.64, 90=639999, 99=683007, 99.9=714239, 99.99=720895] 
2022-01-11 10:49:59:733 30 sec: 49367 operations; 1798.6 current ops/sec; est completion in 6 hours 44 minutes [INSERT: Count=17985, Max=480255, Min=94528, Avg=222130.88, 90=394239, 99=462847, 99.9=475647, 99.99=479999] 
2022-01-11 10:50:09:733 40 sec: 69248 operations; 1988.1 current ops/sec; est completion in 6 hours 24 minutes [INSERT: Count=19883, Max=511999, Min=91712, Avg=202251.25, 90=461055, 99=489215, 99.9=506111, 99.99=511999] 
2022-01-11 10:50:19:733 50 sec: 91321 operations; 2207.3 current ops/sec; est completion in 6 hours 4 minutes [INSERT: Count=22073, Max=359423, Min=89472, Avg=180215.83, 90=304383, 99=334591, 99.9=348671, 99.99=359423] 
2022-01-11 10:50:29:733 60 sec: 109918 operations; 1859.7 current ops/sec; est completion in 6 hours 2 minutes [INSERT: Count=18595, Max=508159, Min=89792, Avg=214157.97, 90=425727, 99=479487, 99.9=503551, 99.99=508159] 
2022-01-11 10:50:39:733 70 sec: 127384 operations; 1746.6 current ops/sec; est completion in 6 hours 5 minutes [INSERT: Count=17466, Max=744447, Min=89920, Avg=228137.17, 90=696319, 99=723455, 99.9=731135, 99.99=732671] 
2022-01-11 10:50:49:733 80 sec: 144737 operations; 1735.3 current ops/sec; est completion in 6 hours 7 minutes [INSERT: Count=17353, Max=772095, Min=89280, Avg=231671.4, 90=715263, 99=740863, 99.9=751615, 99.99=767999] 
2022-01-11 10:50:55:058 85 sec: 155041 operations; 1935.02 current ops/sec; est completion in 6 hours 5 minutes [CLEANUP: Count=400, Max=19, Min=0, Avg=0.09, 90=0, 99=2, 99.9=19, 99.99=19] [INSERT: Count=10304, Max=446719, Min=91776, Avg=207581.12, 90=407551, 99=436223, 99.9=443647, 99.99=446719] 
