W[18:37:31,513] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449236 to 172.16.66.12:50300  decided until 449235 received 449534
W[18:37:31,514] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449237 to 172.16.66.12:50300  decided until 449236 received 449535
W[18:37:31,514] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449238 to 172.16.66.12:50300  decided until 449237 received 449536
W[18:37:31,515] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449239 to 172.16.66.12:50300  decided until 449238 received 449537
W[18:37:31,515] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449240 to 172.16.66.12:50300  decided until 449239 received 449538
W[18:37:31,516] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449241 to 172.16.66.12:50300  decided until 449240 received 449539
W[18:37:31,516] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449242 to 172.16.66.12:50300  decided until 449241 received 449540
W[18:37:31,517] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449243 to 172.16.66.12:50300  decided until 449242 received 449541
W[18:37:31,517] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449244 to 172.16.66.12:50300  decided until 449243 received 449542
W[18:37:31,518] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449245 to 172.16.66.12:50300  decided until 449244 received 449543
W[18:37:31,518] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449246 to 172.16.66.12:50300  decided until 449245 received 449544
W[18:37:31,519] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449247 to 172.16.66.12:50300  decided until 449246 received 449545
W[18:37:31,519] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449248 to 172.16.66.12:50300  decided until 449247 received 449546
W[18:37:31,520] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449249 to 172.16.66.12:50300  decided until 449248 received 449547
W[18:37:31,520] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449250 to 172.16.66.12:50300  decided until 449249 received 449548
W[18:37:31,521] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449251 to 172.16.66.12:50300  decided until 449250 received 449549
