W[18:37:27,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51008 to 172.16.66.64:50300  decided until 51007 received 54660
W[18:37:27,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51009 to 172.16.66.64:50300  decided until 51008 received 54722
W[18:37:27,140] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51010 to 172.16.66.64:50300  decided until 51009 received 54798
W[18:37:27,141] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51011 to 172.16.66.64:50300  decided until 51010 received 54887
W[18:37:27,141] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51012 to 172.16.66.64:50300  decided until 51011 received 54953
W[18:37:27,142] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51013 to 172.16.66.64:50300  decided until 51012 received 55047
W[18:37:27,142] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51014 to 172.16.66.64:50300  decided until 51013 received 55073
W[18:37:27,143] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51015 to 172.16.66.64:50300  decided until 51014 received 55074
W[18:37:27,144] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51016 to 172.16.66.64:50300  decided until 51015 received 55151
W[18:37:27,145] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51017 to 172.16.66.64:50300  decided until 51016 received 55227
W[18:37:27,146] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51018 to 172.16.66.64:50300  decided until 51017 received 55338
W[18:37:27,147] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51019 to 172.16.66.64:50300  decided until 51018 received 55402
W[18:37:27,147] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51020 to 172.16.66.64:50300  decided until 51019 received 55490
W[18:37:27,148] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51021 to 172.16.66.64:50300  decided until 51020 received 55556
W[18:37:27,149] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51022 to 172.16.66.64:50300  decided until 51021 received 55608
W[18:37:27,150] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51023 to 172.16.66.64:50300  decided until 51022 received 55683
W[18:37:27,151] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51024 to 172.16.66.64:50300  decided until 51023 received 55759
W[18:37:27,153] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51025 to 172.16.66.64:50300  decided until 51024 received 55914
W[18:37:27,154] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51026 to 172.16.66.64:50300  decided until 51025 received 55990
W[18:37:27,154] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51027 to 172.16.66.64:50300  decided until 51026 received 56065
W[18:37:27,155] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51028 to 172.16.66.64:50300  decided until 51027 received 56107
W[18:37:27,155] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51029 to 172.16.66.64:50300  decided until 51028 received 56108
W[18:37:27,156] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51030 to 172.16.66.64:50300  decided until 51029 received 56151
W[18:37:27,156] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51031 to 172.16.66.64:50300  decided until 51030 received 56184
W[18:37:27,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51032 to 172.16.66.64:50300  decided until 51031 received 56185
W[18:37:27,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51033 to 172.16.66.64:50300  decided until 51032 received 56219
W[18:37:27,157] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51034 to 172.16.66.64:50300  decided until 51033 received 56256
W[18:37:27,159] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51035 to 172.16.66.64:50300  decided until 51034 received 56400
W[18:37:27,160] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51036 to 172.16.66.64:50300  decided until 51035 received 56574
