2022-01-10 14:31:27:815 0 sec: 0 operations; est completion in 0 second 
2022-01-10 14:31:37:791 10 sec: 1041 operations; 104.1 current ops/sec; est completion in 4 days 10 hours [INSERT: Count=1041, Max=98047, Min=6412, Avg=9316.33, 90=11295, 99=19087, 99.9=22175, 99.99=98047] 
2022-01-10 14:31:47:791 20 sec: 2321 operations; 128 current ops/sec; est completion in 3 days 23 hours [INSERT: Count=1280, Max=9583, Min=6036, Avg=7789.2, 90=8479, 99=8991, 99.9=9263, 99.99=9583] 
2022-01-10 14:31:57:791 30 sec: 3646 operations; 132.5 current ops/sec; est completion in 3 days 19 hours [INSERT: Count=1325, Max=9551, Min=5212, Avg=7520.24, 90=8199, 99=8863, 99.9=9431, 99.99=9551] 
2022-01-10 14:32:07:791 40 sec: 5044 operations; 139.8 current ops/sec; est completion in 3 days 16 hours [INSERT: Count=1398, Max=9367, Min=5524, Avg=7131.39, 90=7811, 99=8455, 99.9=9023, 99.99=9367] 
2022-01-10 14:32:17:791 50 sec: 6386 operations; 134.2 current ops/sec; est completion in 3 days 14 hours [INSERT: Count=1342, Max=9655, Min=4932, Avg=7427.84, 90=8059, 99=8471, 99.9=8935, 99.99=9655] 
2022-01-10 14:32:27:791 60 sec: 7694 operations; 130.8 current ops/sec; est completion in 3 days 14 hours [INSERT: Count=1308, Max=8951, Min=5968, Avg=7635.67, 90=8135, 99=8559, 99.9=8839, 99.99=8951] 
2022-01-10 14:32:37:791 70 sec: 9025 operations; 133.1 current ops/sec; est completion in 3 days 14 hours [INSERT: Count=1331, Max=11015, Min=5676, Avg=7500.96, 90=8087, 99=8599, 99.9=10143, 99.99=11015] 
2022-01-10 14:32:47:790 80 sec: 10337 operations; 131.2 current ops/sec; est completion in 3 days 13 hours [INSERT: Count=1312, Max=8959, Min=6192, Avg=7611.04, 90=8199, 99=8623, 99.9=8871, 99.99=8959] 
2022-01-10 14:32:52:798 85 sec: 10970 operations; 126.4 current ops/sec; est completion in 3 days 14 hours [CLEANUP: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [INSERT: Count=633, Max=9719, Min=6708, Avg=7906.87, 90=8431, 99=8967, 99.9=9223, 99.99=9719] 
